date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Jan 6 2014,$1.390,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=MC65,Santiago Giraldo,Doha,Gael Monfils,Santiago Giraldo,Gael Monfils,R32,78,9,67,86,66,35,66,22,,,,,,,80,41,2,61,64,50,13,,0,,,,,,,58,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=MC65
Jan 6 2014,$2.717,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=F401,David Ferrer,Valencia,Gael Monfils,David Ferrer,David Ferrer,R32,62,2,53,62,33,17,33,33,,,,,,,48,25,4,61,82,61,37,,80,,,,,,,74,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2013&r=3&p=F401
Oct 28 2013,$9.817,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=5&p=D643,Novak Djokovic,ATP World Tour Masters 1000 Shanghai,Gael Monfils,Novak Djokovic,Novak Djokovic,Q,143,9,65,65,47,20,47,50,,,,,,,59,30,4,62,79,53,34,,62,,,,,,,69,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=5&p=D643
Oct 28 2013,$3.814,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=MC65,Roger Federer,ATP World Tour Masters 1000 Shanghai,Gael Monfils,Roger Federer,Gael Monfils,R16,129,15,58,80,55,28,55,30,,,,,,,70,34,3,71,71,51,19,,20,,,,,,,65,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=MC65
Oct 14 2013,$1.506,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=MC65,Vasek Pospisil,ATP World Tour Masters 1000 Shanghai,Gael Monfils,Vasek Pospisil,Gael Monfils,R32,111,7,65,74,59,16,59,28,,,,,,,69,35,2,55,83,40,25,,16,,,,,,,64,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=MC65
Oct 14 2013,$1.192,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=MC65,Tatsuma Ito,ATP World Tour Masters 1000 Shanghai,Gael Monfils,Tatsuma Ito,Gael Monfils,R64,54,15,66,83,55,37,55,50,,,,,,,74,42,3,68,62,46,16,,0,,,,,,,57,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=MC65
Oct 14 2013,$2.712,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=T786,Jo-Wilfried Tsonga,Tokyo,Gael Monfils,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,R32,91,11,53,66,58,21,58,0,,,,,,,63,30,8,54,78,58,33,,25,,,,,,,69,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=T786
Oct 14 2013,$3.178,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634229,John Isner,US Open Slam,Gael Monfils,John Isner,John Isner,Round of 64,175,7,83,73,52,20,52,14,35,29,9,16,160,149,69,28,23,70,80,55,27,48,33,60,55,37,63,205,173,72,31,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634229
Oct 14 2013,$1.171,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634158,Adrian Ungur,US Open Slam,Gael Monfils,Adrian Ungur,Gael Monfils,Round of 128,67,5,84,80,50,54,50,69,22,11,8,12,162,138,76,63,1,56,46,26,20,,100,19,47,6,14,172,146,37,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634158
Sep 30 2013,$1.462,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=7&p=M762,Jurgen Melzer,Winston-Salem,Gael Monfils,Jurgen Melzer,Jurgen Melzer,F,54,1,73,58,53,28,53,0,,,,,,,57,28,2,71,72,70,41,,50,,,,,,,71,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6242&y=2013&r=7&p=M762
