date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Apr 13 2014,$1.014,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=N409,Andreas Seppi,ATP World Tour Masters 1000 Monte Carlo,Rafael Nadal,Andreas Seppi,Rafael Nadal,R16,74,2,64,82,43,44,43,100,,,,,,,68,55,1,55,55,31,17,,16,,,,,,,44,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=N409
Apr 13 2014,$1.004,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=N409,Teymuraz Gabashvili,ATP World Tour Masters 1000 Monte Carlo,Rafael Nadal,Teymuraz Gabashvili,Rafael Nadal,R32,73,2,75,79,23,52,23,100,,,,,,,65,61,1,50,47,28,20,,50,,,,,,,38,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=N409
Sep 30 2013,$2.159,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=7&p=D643,Novak Djokovic,Beijing,Rafael Nadal,Novak Djokovic,Novak Djokovic,F,87,2,65,79,33,9,33,0,,,,,,,63,13,5,71,90,76,20,,50,,,,,,,86,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=7&p=D643
Sep 30 2013,$1.265,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=6&p=N409,Tomas Berdych,Beijing,Rafael Nadal,Tomas Berdych,Rafael Nadal,S,37,0,57,45,62,33,62,66,,,,,,,52,57,1,63,66,0,54,,50,,,,,,,42,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=6&p=N409
Sep 30 2013,$1.065,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=5&p=N409,Fabio Fognini,Beijing,Rafael Nadal,Fabio Fognini,Rafael Nadal,Q,135,3,63,62,44,43,44,42,,,,,,,55,47,3,63,56,44,38,,50,,,,,,,52,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=5&p=N409
Sep 30 2013,$1.068,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=N409,Philipp Kohlschreiber,Beijing,Rafael Nadal,Philipp Kohlschreiber,Rafael Nadal,R16,115,3,60,67,60,26,60,60,,,,,,,64,39,2,50,73,47,32,,33,,,,,,,60,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=4&p=N409
Mar 17 2014,$2.279,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=7&p=D643,Novak Djokovic,ATP World Tour Masters 1000 Miami,Rafael Nadal,Novak Djokovic,Novak Djokovic,F,84,2,71,59,46,14,46,0,,,,,,,55,22,5,71,85,57,40,,75,,,,,,,77,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=7&p=D643
Mar 17 2014,$1.278,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=N409,Tomas Berdych,ATP World Tour Masters 1000 Miami,Rafael Nadal,Tomas Berdych,Rafael Nadal,S,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,,,,,,,0,0,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=N409
Mar 17 2014,$1.145,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N409,Milos Raonic,ATP World Tour Masters 1000 Miami,Rafael Nadal,Milos Raonic,Rafael Nadal,Q,156,2,75,74,57,24,57,33,,,,,,,70,40,8,55,75,39,25,,33,,,,,,,59,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N409
Sep 30 2013,$1.031,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=N409,Santiago Giraldo,Beijing,Rafael Nadal,Santiago Giraldo,Rafael Nadal,R32,89,5,55,63,58,38,58,83,,,,,,,61,51,1,50,61,34,36,,50,,,,,,,48,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2013&r=3&p=N409
