date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Apr 22 2013,$1.827,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=3&p=CA12,Paolo Lorenzi,Barcelona,Jeremy Chardy,Paolo Lorenzi,Jeremy Chardy,R32,78,3,54,63,53,55,53,71,,,,,,,59,50,2,56,44,54,36,,33,,,,,,,49,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=3&p=CA12
Feb 10 2014,$1.730,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=4&p=CA12,Alexandr Dolgopolov,Buenos Aires,Jeremy Chardy,Alexandr Dolgopolov,Jeremy Chardy,R16,106,6,66,80,51,24,51,25,,,,,,,70,29,8,66,75,58,19,,20,,,,,,,70,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=4&p=CA12
Feb 10 2014,$1.249,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=3&p=CA12,Alejandro Gonzalez,Buenos Aires,Jeremy Chardy,Alejandro Gonzalez,Jeremy Chardy,R32,102,5,52,68,56,41,56,28,,,,,,,62,45,3,62,58,48,31,,33,,,,,,,54,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=3&p=CA12
Apr 15 2013,$2.240,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=A596,Pablo Andujar,ATP World Tour Masters 1000 Monte Carlo,Jeremy Chardy,Pablo Andujar,Pablo Andujar,R64,169,6,49,61,51,34,51,18,,,,,,,56,37,4,69,65,55,38,,31,,,,,,,62,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=A596
Mar 18 2013,$1.611,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=M680,Xavier Malisse,ATP World Tour Masters 1000 Miami,Jeremy Chardy,Xavier Malisse,Xavier Malisse,R64,74,5,51,56,23,22,23,25,,,,,,,40,39,2,48,77,44,43,,66,,,,,,,60,59,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=M680
Feb 3 2014,$3.184,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=5&p=F510,Fabio Fognini,Vina del Mar,Jeremy Chardy,Fabio Fognini,Fabio Fognini,Q,115,7,57,69,43,35,43,40,,,,,,,58,35,2,66,64,62,30,,33,,,,,,,64,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=5&p=F510
Feb 3 2014,$1.706,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=4&p=CA12,Pablo Carreno Busta,Vina del Mar,Jeremy Chardy,Pablo Carreno Busta,Jeremy Chardy,R16,88,10,66,87,60,34,60,25,,,,,,,77,38,2,82,65,46,12,,0,,,,,,,61,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2014&r=4&p=CA12
Mar 6 2013,$1.359,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=P436,Bjorn Phau,ATP World Tour Masters 1000 Indian Wells,Jeremy Chardy,Bjorn Phau,Bjorn Phau,R64,102,4,54,79,43,27,43,66,,,,,,,62,32,4,51,72,61,20,,37,,,,,,,67,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=P436
Feb 11 2013,$1.291,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=533&y=2013&r=4&p=A539,Martin Alund,Sao Paulo,Jeremy Chardy,Martin Alund,Martin Alund,R16,156,10,58,71,44,29,44,33,,,,,,,60,34,5,57,70,58,28,,18,,,,,,,65,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=533&y=2013&r=4&p=A539
Feb 4 2013,$7.727,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2013&r=6&p=N409,Rafael Nadal,Vina del Mar,Jeremy Chardy,Rafael Nadal,Rafael Nadal,S,65,4,78,54,44,17,44,0,,,,,,,52,26,2,79,82,40,45,,66,,,,,,,73,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=505&y=2013&r=6&p=N409
