player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Nicolas Almagro,Gael Monfils,Nicolas Almagro,Apr 8 2013,Houston,R16,$1.228,$4.940,0.11,0,1,0
Tommy Robredo,Kevin Anderson,Tommy Robredo,Apr 8 2013,Casablanca,F,$2.226,$1.761,0,0.21,0,2
Tommy Robredo,Stan Wawrinka,Tommy Robredo,Apr 8 2013,Casablanca,S,$4.328,$1.272,-0.15,0,1,0
Kevin Anderson,Jerzy Janowicz,Kevin Anderson,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,$1.752,$2.240,0,0.18,0,1
Tomas Berdych,Richard Gasquet,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,$1.446,$3.071,0,-0.46,0,5
Marin Cilic,Kevin Anderson,Marin Cilic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$1.369,$3.487,-0.16,0.04,1,1
Juan Martin Del Potro,Alexandr Dolgopolov,Juan Martin Del Potro,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$1.205,$5.335,0.24,0,1,0
Novak Djokovic,Fabio Fognini,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,S,$1.168,$6.217,0,-0.4,0,3
Novak Djokovic,Mikhail Youzhny,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$1.089,$10.139,0,0,0,0
Richard Gasquet,Fabio Fognini,Fabio Fognini,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,$1.376,$3.447,0,0,0,0
Richard Gasquet,Marin Cilic,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,$1.680,$2.370,0.16,0,3,0
John Isner,Ernests Gulbis,Ernests Gulbis,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,$3.026,$1.456,0.07,-0.05,1,1
Stan Wawrinka,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,$1.830,$2.125,0.25,-0.13,2,2
Tomas Berdych,Fabio Fognini,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R16,$1.276,$4.290,0,0,0,0
Rafael Nadal,Nicolas Almagro,Rafael Nadal,Apr 22 2013,Barcelona,F,$1.116,$8.289,0,-0.38,0,7
Milos Raonic,Ernests Gulbis,Milos Raonic,Apr 22 2013,Barcelona,R16,$1.568,$2.638,0,0.15,0,2
Tommy Robredo,Milos Raonic,Milos Raonic,Apr 22 2013,Barcelona,Q,$3.075,$1.445,0,0.23,0,2
Tommy Robredo,Tomas Berdych,Tommy Robredo,Apr 22 2013,Barcelona,R16,$2.975,$1.469,-0.06,0,1,0
Tommy Robredo,Grigor Dimitrov,Tommy Robredo,Apr 22 2013,Barcelona,R32,$2.523,$1.611,-0.06,0,2,0
Fernando Verdasco,Ernests Gulbis,Ernests Gulbis,Apr 22 2013,Barcelona,R32,$2.850,$1.400,1.03,0.29,6,3
Fabio Fognini,Andreas Seppi,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R64,$2.312,$1.711,0,0,0,0
David Ferrer,Andreas Seppi,David Ferrer,Apr 29 2013,Oeiras,S,$1.219,$5.094,0.08,0,1,0
Tommy Haas,Philipp Kohlschreiber,Tommy Haas,Apr 29 2013,Munich,F,$1.578,$2.610,0.27,-0.13,1,1
Tommy Haas,Ernests Gulbis,Tommy Haas,Apr 29 2013,Munich,R16,$2.139,$1.820,0.39,0.16,8,9
Tommy Robredo,Andreas Seppi,Andreas Seppi,Apr 29 2013,Oeiras,Q,$1.755,$2.236,-0.18,0,3,0
Tomas Berdych,Kevin Anderson,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.366,$3.510,0.47,-0.26,4,18
Tomas Berdych,Jerzy Janowicz,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.351,$3.611,0.12,-0.12,2,3
