tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Dubai,Tomas Berdych,Roger Federer,Roger Federer,F,119,5,48,65,45,16,45,30,,,,,,,55,34,8,51,83,46,34,,40,,,,,,,65,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=7&p=F324
ATP World Tour Masters 1000 Miami,Tomas Berdych,Alexandr Dolgopolov,Tomas Berdych,Q,105,11,68,81,50,17,50,33,,,,,,,71,42,9,48,82,34,18,,66,,,,,,,57,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=BA47
ATP World Tour Masters 1000 Indian Wells,Tomas Berdych,Roberto Bautista Agut,Roberto Bautista Agut,R64,143,6,52,70,39,32,39,20,,,,,,,56,40,2,65,67,45,29,,35,,,,,,,59,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=BD06
ATP World Tour Masters 1000 Miami,Tomas Berdych,Rafael Nadal,Rafael Nadal,S,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,0,,,,,,,0,0,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=N409
ATP World Tour Masters 1000 Miami,Tomas Berdych,John Isner,Tomas Berdych,R16,91,7,57,88,60,36,60,25,,,,,,,76,41,9,64,63,50,11,,0,,,,,,,58,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=BA47
ATP World Tour Masters 1000 Miami,Tomas Berdych,Stephane Robert,Tomas Berdych,R64,76,9,62,87,57,18,57,66,,,,,,,76,44,3,28,81,44,12,,33,,,,,,,55,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=BA47
ATP World Tour Masters 1000 Miami,Tomas Berdych,Joao Sousa,Tomas Berdych,R32,82,4,52,61,70,29,70,55,,,,,,,66,49,0,53,70,28,38,,40,,,,,,,50,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=BA47
ATP World Tour Masters 1000 Monte Carlo,Tomas Berdych,Dmitry Tursunov,Tomas Berdych,R32,101,7,63,78,57,40,57,44,,,,,,,70,44,1,68,59,48,21,,33,,,,,,,55,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=BA47
Barcelona,Tomas Berdych,Tommy Robredo,Tommy Robredo,R16,135,6,68,76,33,35,33,50,,,,,,,63,37,4,56,64,60,23,,80,,,,,,,62,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=4&p=R419
Oeiras,Tomas Berdych,Somdev Devvarman,Tomas Berdych,R16,76,6,62,85,50,48,50,60,,,,,,,72,45,1,47,52,57,14,,0,,,,,,,54,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2014&r=4&p=BA47
ATP World Tour Masters 1000 Madrid,Tomas Berdych,Jerzy Janowicz,Tomas Berdych,R32,135,10,66,69,45,29,45,50,,,,,,,61,35,10,71,70,48,30,,11,,,,,,,64,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=BA47
ATP World Tour Masters 1000 Monte Carlo,Tomas Berdych,Guillermo Garcia-Lopez,Guillermo Garcia-Lopez,R16,126,6,49,66,37,30,37,60,,,,,,,51,37,0,76,69,38,33,,60,,,,,,,62,48,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=G476
Oeiras,Tomas Berdych,Carlos Berlocq,Carlos Berlocq,F,130,6,56,61,30,41,30,50,,,,,,,48,50,0,71,58,27,38,,70,,,,,,,49,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2014&r=7&p=B884
Oeiras,Tomas Berdych,Leonardo Mayer,Tomas Berdych,Q,129,5,60,73,38,31,38,50,,,,,,,59,42,7,63,68,36,26,,83,,,,,,,57,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2014&r=5&p=BA47
Oeiras,Tomas Berdych,Victor Hanescu,Tomas Berdych,S,63,5,65,85,60,42,60,100,,,,,,,76,50,0,72,57,30,14,,0,,,,,,,50,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=468&y=2014&r=6&p=BA47
ATP World Tour Masters 1000 Madrid,Tomas Berdych,Grigor Dimitrov,Tomas Berdych,R16,110,7,58,73,59,28,59,42,,,,,,,67,33,12,62,71,57,26,,25,,,,,,,66,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=BA47
ATP World Tour Masters 1000 Madrid,Tomas Berdych,Andy Murray,Tomas Berdych,Q,122,2,56,68,55,30,55,42,,,,,,,62,41,6,56,69,44,31,,22,,,,,,,58,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=5&p=BA47
ATP World Tour Masters 1000 Madrid,Tomas Berdych,Kevin Anderson,Tomas Berdych,R32,70,5,62,85,70,38,70,30,,,,,,,80,46,5,75,61,28,14,,0,,,,,,,53,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=BA47
ATP World Tour Masters 1000 Madrid,Tomas Berdych,Rafael Nadal,Rafael Nadal,Q,88,0,70,58,56,21,56,0,,,,,,,58,27,4,75,78,53,41,,60,,,,,,,72,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=N409
ATP World Tour Masters 1000 Madrid,Tomas Berdych,Kevin Anderson,Tomas Berdych,R16,113,10,63,71,50,29,50,33,,,,,,,63,39,13,69,70,40,28,,66,,,,,,,60,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=4&p=BA47
ATP World Tour Masters 1000 Rome,Tomas Berdych,Dmitry Tursunov,Tomas Berdych,R32,83,4,57,80,39,46,39,55,,,,,,,62,46,2,71,53,52,19,,100,,,,,,,53,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=BA47
ATP World Tour Masters 1000 Rome,Tomas Berdych,Kevin Anderson,Tomas Berdych,R16,84,5,55,80,56,28,56,66,,,,,,,69,41,4,52,71,44,19,,20,,,,,,,58,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=BA47
ATP World Tour Masters 1000 Madrid,Tomas Berdych,Stan Wawrinka,Stan Wawrinka,S,115,8,65,82,40,28,40,25,,,,,,,68,36,5,52,71,54,17,,50,,,,,,,63,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=6&p=W367
Davis Cup,Tomas Berdych,Dusan Lajovic,Tomas Berdych,Singles,114,5,63,87,63,28,63,57,,,,,,,78,35,2,70,72,48,13,,0,,,,,,,65,22,http://www.tennisinsight.com/match_stats_popup.php?matchID=183343102
London / Queen's Club,Tomas Berdych,Thiemo de Bakker,Tomas Berdych,R32,61,5,50,80,63,35,63,60,,,,,,,71,45,3,67,64,33,20,,0,,,,,,,54,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=3&p=BA47
ATP World Tour Masters 1000 Rome,Tomas Berdych,Denis Istomin,Tomas Berdych,R32,68,3,65,86,56,40,56,57,,,,,,,76,49,0,58,60,38,13,,0,,,,,,,50,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=BA47
ATP World Tour Masters 1000 Rome,Tomas Berdych,Novak Djokovic,Tomas Berdych,Q,142,9,63,79,35,30,35,60,,,,,,,63,35,8,68,69,53,20,,50,,,,,,,64,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=5&p=BA47
ATP World Tour Masters 1000 Rome,Tomas Berdych,Rafael Nadal,Rafael Nadal,S,78,5,62,60,55,22,55,0,,,,,,,58,17,0,77,77,100,40,,75,,,,,,,82,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=6&p=N409
ATP World Tour Masters 1000 Rome,Tomas Berdych,Grigor Dimitrov,Grigor Dimitrov,R16,145,7,62,67,45,17,45,33,,,,,,,59,29,8,65,82,48,32,,38,,,,,,,70,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=D875
London / Queen's Club,Tomas Berdych,Grega Zemlja,Tomas Berdych,R16,65,11,59,83,71,34,71,16,,,,,,,78,42,9,66,65,40,16,,0,,,,,,,57,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=BA47
London / Queen's Club,Tomas Berdych,Marin Cilic,Marin Cilic,Q,106,5,69,75,59,20,59,0,,,,,,,70,29,8,62,79,56,24,,33,,,,,,,70,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=C977
Bastad,Tomas Berdych,Martin Alund,Tomas Berdych,R16,74,5,51,55,68,53,68,66,,,,,,,61,61,0,53,46,30,44,,50,,,,,,,38,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=2013&r=4&p=BA47
ATP World Tour Masters 1000 Cincinnati,Tomas Berdych,Andy Murray,Tomas Berdych,Q,93,2,56,72,65,29,65,33,,,,,,,69,35,10,54,70,57,27,,0,,,,,,,64,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=5&p=BA47
ATP World Tour Masters 1000 Cincinnati,Tomas Berdych,Tommy Robredo,Tomas Berdych,R16,61,6,50,80,64,50,64,66,,,,,,,72,48,2,56,50,52,20,,0,,,,,,,51,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=BA47
Australian Open Slam,Tomas Berdych,Kevin Anderson,Tomas Berdych,Round of 16,118,4,52,89,62,37,62,29,38,17,15,18,193,153,76,44,16,72,63,38,11,,0,31,30,6,19,194,171,56,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704405
Bastad,Tomas Berdych,Thiemo de Bakker,Thiemo de Bakker,Q,123,7,59,65,44,31,44,16,,,,,,,56,41,8,57,68,44,34,,50,,,,,,,58,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=316&y=2013&r=5&p=D776
ATP World Tour Masters 1000 Canada,Tomas Berdych,Alexandr Dolgopolov,Tomas Berdych,R32,77,9,54,80,53,33,53,100,,,,,,,68,39,2,50,66,53,19,,14,,,,,,,60,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=BA47
ATP World Tour Masters 1000 Cincinnati,Tomas Berdych,Jarkko Nieminen,Tomas Berdych,R32,68,8,39,90,58,42,58,50,,,,,,,70,52,0,50,57,36,10,,33,,,,,,,47,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=BA47
