tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Rio de Janeiro,Alexandr Dolgopolov,Fabio Fognini,Alexandr Dolgopolov,Q,67,12,51,82,46,54,53,85,,,,,,,64,59,2,64,45,30,17,,16,,,,,,,40,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=5&p=D801
Buenos Aires,Alexandr Dolgopolov,Pablo Cuevas,Alexandr Dolgopolov,R32,122,10,56,74,57,17,42,66,,,,,,,66,34,2,55,82,43,25,,28,,,,,,,65,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=3&p=D801
Beijing,Alexandr Dolgopolov,Jurgen Melzer,Jurgen Melzer,R16,108,13,47,76,50,15,49,50,,,,,,,62,24,6,55,84,63,23,,18,,,,,,,75,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=747&y=2012&r=4&p=M762
Rio de Janeiro,Alexandr Dolgopolov,Facundo Bagnis,Alexandr Dolgopolov,R16,151,8,49,74,58,38,41,41,,,,,,,66,43,8,63,61,48,26,,50,,,,,,,56,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=4&p=D801
Rio de Janeiro,Alexandr Dolgopolov,Nicolas Almagro,Alexandr Dolgopolov,R32,95,9,42,80,52,30,47,62,,,,,,,64,44,8,52,69,40,20,,28,,,,,,,55,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=3&p=D801
Buenos Aires,Alexandr Dolgopolov,Jeremy Chardy,Jeremy Chardy,R16,106,8,66,75,58,19,41,20,,,,,,,70,29,6,66,80,51,24,,25,,,,,,,70,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=506&y=2014&r=4&p=CA12
Rio de Janeiro,Alexandr Dolgopolov,Rafael Nadal,Rafael Nadal,F,101,10,44,73,45,20,54,25,,,,,,,58,29,3,63,79,56,26,,66,,,,,,,70,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=7&p=N409
Rio de Janeiro,Alexandr Dolgopolov,David Ferrer,Alexandr Dolgopolov,S,84,4,48,76,56,45,43,30,,,,,,,66,45,2,70,54,52,23,,25,,,,,,,54,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=6&p=D801
Acapulco,Alexandr Dolgopolov,Jeremy Chardy,Alexandr Dolgopolov,R16,66,11,58,92,70,34,30,25,,,,,,,83,34,7,47,65,65,7,,0,,,,,,,65,16,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=D801
Acapulco,Alexandr Dolgopolov,Ivo Karlovic,Alexandr Dolgopolov,Q,100,11,56,80,65,16,34,12,,,,,,,74,28,18,68,84,43,19,,0,,,,,,,71,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=5&p=D801
Acapulco,Alexandr Dolgopolov,Vasek Pospisil,Alexandr Dolgopolov,R32,68,5,57,76,68,44,31,57,,,,,,,73,51,5,60,55,36,23,,0,,,,,,,48,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=D801
ATP World Tour Masters 1000 Shanghai,Alexandr Dolgopolov,Andy Murray,Andy Murray,R16,58,2,52,60,39,17,60,100,,,,,,,50,25,7,72,82,54,40,,83,,,,,,,75,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=4&p=MC10
ATP World Tour Masters 1000 Shanghai,Alexandr Dolgopolov,Jeremy Chardy,Alexandr Dolgopolov,R64,68,4,48,76,66,32,33,30,,,,,,,71,43,4,56,67,42,24,,0,,,,,,,56,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=2&p=D801
Acapulco,Alexandr Dolgopolov,Kevin Anderson,Kevin Anderson,S,120,7,65,66,56,14,43,100,,,,,,,63,22,19,64,86,62,33,,23,,,,,,,77,36,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=6&p=A678
ATP World Tour Masters 1000 Shanghai,Alexandr Dolgopolov,Gilles Simon,Alexandr Dolgopolov,R32,76,5,51,74,66,32,33,33,,,,,,,70,41,5,59,67,44,25,,0,,,,,,,58,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=3&p=D801
Moscow,Alexandr Dolgopolov,Edouard Roger-Vasselin,Edouard Roger-Vasselin,R16,143,11,52,67,66,28,33,25,,,,,,,67,32,8,73,71,57,32,,28,,,,,,,67,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=438&y=2012&r=4&p=R613
Valencia,Alexandr Dolgopolov,Filippo Volandri,Alexandr Dolgopolov,R32,74,9,65,84,80,34,19,20,,,,,,,83,38,2,61,65,54,15,,0,,,,,,,61,16,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=3&p=D801
Valencia,Alexandr Dolgopolov,Marcel Granollers,Alexandr Dolgopolov,Q,65,5,56,91,55,59,44,71,,,,,,,75,58,1,47,40,41,8,,0,,,,,,,41,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=5&p=D801
Valencia,Alexandr Dolgopolov,Gilles Muller,Alexandr Dolgopolov,R16,80,6,59,96,68,30,31,20,,,,,,,85,39,7,64,69,44,3,,0,,,,,,,60,14,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=4&p=D801
ATP World Tour Masters 1000 Indian Wells,Alexandr Dolgopolov,Fabio Fognini,Alexandr Dolgopolov,R16,76,6,50,82,60,27,39,50,,,,,,,71,43,4,55,72,37,17,,0,,,,,,,56,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=D801
Valencia,Alexandr Dolgopolov,Jurgen Melzer,Alexandr Dolgopolov,S,75,9,55,85,54,41,45,100,,,,,,,71,46,4,55,58,48,14,,100,,,,,,,53,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=573&y=2012&r=6&p=D801
ATP World Tour Masters 1000 Indian Wells,Alexandr Dolgopolov,Rafael Nadal,Alexandr Dolgopolov,R32,139,11,40,76,47,29,52,80,,,,,,,59,35,2,63,70,53,23,,66,,,,,,,64,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=D801
