tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Marseille,Roberto Bautista Agut,Dustin Brown,Roberto Bautista Agut,R32,120,3,68,77,45,29,54,25,,,,,,,67,36,8,56,70,53,22,,25,,,,,,,63,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=496&y=2014&r=3&p=BD06
Auckland,Roberto Bautista Agut,John Isner,John Isner,S,110,5,72,66,67,19,32,66,,,,,,,66,29,17,66,80,51,33,,28,,,,,,,70,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=301&y=2014&r=6&p=I186
ATP World Tour Masters 1000 Miami,Roberto Bautista Agut,Steve Johnson,Roberto Bautista Agut,R128,113,2,72,80,57,36,42,30,,,,,,,74,44,17,64,63,41,19,,50,,,,,,,55,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=1&p=BD06
ATP World Tour Masters 1000 Monte Carlo,Roberto Bautista Agut,Vasek Pospisil,Roberto Bautista Agut,R64,83,1,71,72,52,42,47,40,,,,,,,66,49,2,65,57,38,27,,0,,,,,,,50,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=2&p=BD06
Barcelona,Roberto Bautista Agut,Lukasz Kubot,Roberto Bautista Agut,R64,61,2,72,79,53,68,46,71,,,,,,,72,64,1,56,31,41,20,,0,,,,,,,35,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=2&p=BD06
ATP World Tour Masters 1000 Madrid,Roberto Bautista Agut,Tommy Robredo,Roberto Bautista Agut,R64,87,0,66,74,54,20,45,50,,,,,,,67,34,1,48,80,51,25,,0,,,,,,,65,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=BD06
Barcelona,Roberto Bautista Agut,Kei Nishikori,Kei Nishikori,R32,118,1,66,55,46,31,53,57,,,,,,,52,40,5,58,68,46,45,,46,,,,,,,59,47,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=N552
ATP World Tour Masters 1000 Madrid,Roberto Bautista Agut,Lukasz Kubot,Roberto Bautista Agut,R16,75,3,80,69,66,32,33,66,,,,,,,68,43,3,67,67,33,30,,12,,,,,,,56,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=BD06
ATP World Tour Masters 1000 Madrid,Roberto Bautista Agut,Fernando Verdasco,Roberto Bautista Agut,R32,121,5,72,69,54,36,45,100,,,,,,,65,35,1,76,63,66,30,,42,,,,,,,64,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=BD06
ATP World Tour Masters 1000 Madrid,Roberto Bautista Agut,Santiago Giraldo,Roberto Bautista Agut,Q,87,5,61,77,56,31,44,40,,,,,,,69,35,5,59,68,59,22,,0,,,,,,,64,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=BD06
ATP World Tour Masters 1000 Madrid,Roberto Bautista Agut,Rafael Nadal,Rafael Nadal,S,103,0,71,60,27,28,72,50,,,,,,,50,33,2,68,71,56,40,,38,,,,,,,66,49,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=6&p=N409
