matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,US Open Slam,Novak Djokovic,Marcel Granollers,Novak Djokovic,Round of 16,79,2,0,72,84,87,52,87,50,34,15,28,30,175,141,2,2,48,48,33,16,33,0,8,20,8,25,178,146,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634401
,US Open Slam,Novak Djokovic,Mikhail Youzhny,Novak Djokovic,Quarter Final,154,5,1,68,70,58,47,58,58,32,45,27,39,177,138,2,4,56,53,52,30,52,20,15,31,10,21,175,146,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634501
,US Open Slam,Novak Djokovic,Stanislas Wawrinka,Novak Djokovic,Semi Final,249,9,6,67,69,56,29,56,21,38,46,29,40,180,138,8,7,50,71,50,31,50,56,57,69,26,41,188,149,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634601
,US Open Slam,Rafael Nadal,Novak Djokovic,Rafael Nadal,Final,201,1,1,64,65,56,42,56,58,27,20,17,23,177,136,6,2,68,58,48,35,48,27,46,53,22,36,180,141,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634701
,Davis Cup,Novak Djokovic,Vasek Pospisil,Novak Djokovic,Singles,100,3,0,71,85,76,33,76,43,,,,,,,9,1,60,67,29,15,29,0,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=181963101
,Davis Cup,Novak Djokovic,Milos Raonic,Novak Djokovic,Reverse Singles,128,4,0,67,71,76,35,76,46,,,,,,,10,3,68,65,29,29,29,40,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=181963103
,ATP World Tour Masters 1000 Shanghai,Novak Djokovic,Marcel Granollers,Novak Djokovic,R32,71,6,2,57,80,52,52,52,50,,,,,,,0,4,48,47,37,19,37,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=D643
,ATP World Tour Masters 1000 Shanghai,Novak Djokovic,Fabio Fognini,Novak Djokovic,R16,70,5,0,72,79,76,41,76,50,,,,,,,3,2,70,58,47,20,47,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=D643
,ATP World Tour Masters 1000 Shanghai,Novak Djokovic,Gael Monfils,Novak Djokovic,Q,143,4,1,62,79,53,34,53,62,,,,,,,9,3,65,65,47,20,47,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=5&p=D643
,ATP World Tour Masters 1000 Shanghai,Novak Djokovic,Jo-Wilfried Tsonga,Novak Djokovic,S,94,6,2,66,65,65,42,65,50,,,,,,,4,2,62,57,33,35,33,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=6&p=D643
,ATP World Tour Masters 1000 Shanghai,Novak Djokovic,Juan Martin Del Potro,Novak Djokovic,F,152,10,0,67,78,57,32,57,16,,,,,,,5,2,72,68,44,21,44,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=7&p=D643
,ATP World Tour Masters 1000 Paris,Novak Djokovic,Pierre-Hugues Herbert,Novak Djokovic,R32,93,4,2,62,81,73,32,73,28,,,,,,,9,5,64,67,51,18,51,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=D643
,ATP World Tour Masters 1000 Paris,Novak Djokovic,John Isner,Novak Djokovic,R16,110,11,1,69,88,63,37,63,25,,,,,,,12,2,78,62,37,11,37,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=D643
,ATP World Tour Masters 1000 Paris,Novak Djokovic,Stan Wawrinka,Novak Djokovic,Q,81,2,0,60,71,64,39,64,37,,,,,,,3,2,66,60,41,28,41,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=5&p=D643
,ATP World Tour Masters 1000 Paris,Novak Djokovic,Roger Federer,Novak Djokovic,S,121,7,5,65,71,53,32,53,40,,,,,,,5,4,66,67,40,28,40,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=6&p=D643
,ATP World Tour Masters 1000 Paris,Novak Djokovic,David Ferrer,Novak Djokovic,F,112,4,2,56,77,57,38,57,50,,,,,,,1,1,61,61,48,22,48,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=7&p=D643
,Barclays ATP World Tour Finals,Novak Djokovic,Stan Wawrinka,Novak Djokovic,S,85,2,0,67,72,75,38,75,40,,,,,,,4,0,54,61,39,27,39,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=6&p=D643
,Barclays ATP World Tour Finals,Novak Djokovic,Rafael Nadal,Novak Djokovic,F,96,6,0,65,68,70,42,70,27,,,,,,,1,4,73,57,50,31,50,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=605&y=2013&r=7&p=D643
,Dubai,Novak Djokovic,Denis Istomin,Novak Djokovic,R32,84,6,2,66,72,54,34,54,25,,,,,,,3,1,60,65,39,27,39,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=3&p=D643
,Dubai,Novak Djokovic,Roberto Bautista Agut,Novak Djokovic,R16,58,4,2,72,76,46,58,46,62,,,,,,,0,1,67,41,53,23,53,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=4&p=D643
