matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Paris,Kei Nishikori,Julien Benneteau,Kei Nishikori,R64,69,4,3,62,82,60,35,60,60,,,,,,,5,0,57,64,52,17,52,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Paris,Kei Nishikori,Jo-Wilfried Tsonga,Kei Nishikori,R32,148,4,2,58,71,62,18,62,16,,,,,,,15,8,56,81,42,28,42,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=N552
,ATP World Tour Masters 1000 Paris,Richard Gasquet,Kei Nishikori,Richard Gasquet,R16,86,4,2,51,81,60,25,60,30,,,,,,,0,7,50,74,35,18,35,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=G628
,Brisbane,Kei Nishikori,Matthew Ebden,Kei Nishikori,R16,62,1,1,56,81,71,26,71,50,,,,,,,3,2,55,73,47,18,47,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=N552
,Brisbane,Kei Nishikori,Marin Cilic,Kei Nishikori,Q,157,6,2,55,77,55,26,55,20,,,,,,,14,11,43,73,49,22,49,6,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=5&p=N552
,Brisbane,Lleyton Hewitt,Kei Nishikori,Lleyton Hewitt,S,150,7,3,44,88,52,27,52,16,,,,,,,12,6,60,72,50,11,50,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=6&p=H432
,Memphis,Kei Nishikori,Benjamin Becker,Kei Nishikori,R16,85,4,2,65,66,45,35,45,62,,,,,,,2,1,48,64,36,33,36,37,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=4&p=N552
,Memphis,Kei Nishikori,Alex Bogomolov Jr.,Kei Nishikori,Q,138,5,3,60,70,40,49,40,40,,,,,,,1,2,56,50,52,29,52,44,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=5&p=N552
,Memphis,Kei Nishikori,Michael Russell,Kei Nishikori,S,64,6,3,59,78,63,46,63,100,,,,,,,1,1,65,53,37,21,37,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=6&p=N552
,Memphis,Kei Nishikori,Ivo Karlovic,Kei Nishikori,F,90,8,2,64,86,62,22,62,11,,,,,,,20,3,76,77,33,13,33,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=7&p=N552
,Delray Beach,Kei Nishikori,Gastao Elias,Kei Nishikori,R32,116,3,7,58,63,59,46,59,46,,,,,,,3,3,51,53,46,36,46,60,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=3&p=N552
,Delray Beach,Teymuraz Gabashvili,Kei Nishikori,Teymuraz Gabashvili,R16,19,2,0,56,77,85,33,85,33,,,,,,,1,2,66,66,33,22,33,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=G681
,ATP World Tour Masters 1000 Indian Wells,Kei Nishikori,Santiago Giraldo,Kei Nishikori,R64,58,1,0,62,77,75,35,75,50,,,,,,,1,1,57,64,30,22,30,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=N552
,ATP World Tour Masters 1000 Indian Wells,Tommy Haas,Kei Nishikori,Tommy Haas,R32,91,1,5,56,63,57,30,57,80,,,,,,,2,2,49,70,35,36,35,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=H355
