p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
65.0,32.0,Miloslav Mecir,false,$1.105,Tommy Haas,Oct 14 2013,Vienna,R16,21.0,cluster_3
68.0,29.0,Daniel Brands,false,$1.211,Tommy Haas,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,22.0,cluster_3
63.0,26.0,Sam Querrey,false,$1.574,Tommy Haas,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,23.0,cluster_3
58.0,45.0,Lleyton Hewitt,false,$1.589,Lleyton Hewitt,Oct 6 2013,Beijing,R32,24.0,cluster_2
64.0,43.0,Mikhail Youzhny,false,$1.527,Mikhail Youzhny,Sep 30 2013,US Open Slam,Round of 32,25.0,cluster_2
55.0,38.0,Yen-Hsun Lu,false,$1.142,Tommy Haas,Aug 26 2013,US Open Slam,Round of 64,26.0,cluster_2
56.0,25.0,Paul-Henri Mathieu,false,$1.070,Tommy Haas,Aug 26 2013,US Open Slam,Round of 128,27.0,cluster_4
61.0,38.0,Roger Federer,false,$3.184,Roger Federer,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R16,28.0,cluster_2
51.0,27.0,Marcel Granollers,false,$1.327,Tommy Haas,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R32,29.0,cluster_4
70.0,21.0,Kevin Anderson,false,$1.930,Tommy Haas,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,30.0,cluster_3
75.0,61.0,Marinko Matosevic,false,$1.279,Marinko Matosevic,Aug 12 2013,ATP World Tour Masters 1000 Canada,R32,31.0,cluster_1
66.0,23.0,David Goffin,false,$1.335,Tommy Haas,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,32.0,cluster_3
62.0,37.0,Juan Martin Del Potro,false,$4.247,Juan Martin Del Potro,Aug 5 2013,Washington,S,33.0,cluster_2
72.0,25.0,Grigor Dimitrov,false,$1.976,Tommy Haas,Jul 29 2013,Washington,Q,34.0,cluster_3
61.0,41.0,Ivan Dodig,false,$1.462,Tommy Haas,Jul 29 2013,Washington,R16,35.0,cluster_2
57.0,35.0,Tim Smyczek,false,$1.228,Tommy Haas,Jul 29 2013,Washington,R32,36.0,cluster_2
66.0,50.0,Fabio Fognini,false,$1.592,Fabio Fognini,Jul 29 2013,Hamburg,Q,37.0,cluster_1
56.0,31.0,Carlos Berlocq,false,$1.397,Tommy Haas,Jul 15 2013,Hamburg,R16,38.0,cluster_4
57.0,33.0,Blaz Kavcic,false,$1.190,Tommy Haas,Jul 15 2013,Hamburg,R32,39.0,cluster_4
71.0,41.0,Fabio Fognini,false,$1.446,Fabio Fognini,Jul 8 2013,Stuttgart,Q,40.0,cluster_0
62.0,28.0,Ernests Gulbis,false,$1.669,Tommy Haas,Jul 8 2013,Stuttgart,R16,41.0,cluster_3
69.0,47.0,Novak Djokovic,false,$7.120,Novak Djokovic,Jun 24 2013,Wimbledon Slam,Round of 16,42.0,cluster_0
62.0,27.0,Feliciano Lopez,false,$1.515,Tommy Haas,Jun 24 2013,Wimbledon Slam,Round of 32,43.0,cluster_3
58.0,18.0,Jimmy Wang,false,$1.057,Tommy Haas,Jun 24 2013,Wimbledon Slam,Round of 64,44.0,cluster_3
64.0,24.0,Dmitry Tursunov,false,$1.105,Tommy Haas,Jun 24 2013,Wimbledon Slam,Round of 128,45.0,cluster_3
71.0,36.0,Roger Federer,false,$3.501,Roger Federer,Jun 10 2013,Halle,S,46.0,cluster_0
66.0,24.0,Gael Monfils,false,$1.426,Tommy Haas,Jun 10 2013,Halle,Q,47.0,cluster_3
63.0,20.0,Ernests Gulbis,false,$1.498,Tommy Haas,Jun 10 2013,Halle,R16,48.0,cluster_3
81.0,43.0,Novak Djokovic,false,$8.632,Novak Djokovic,May 27 2013,French Open Slam,Quarter Final,49.0,cluster_0
43.0,37.0,Mikhail Youzhny,false,$1.823,Tommy Haas,May 27 2013,French Open Slam,Round of 16,50.0,cluster_4
68.0,27.0,John Isner,false,$1.373,Tommy Haas,May 27 2013,French Open Slam,Round of 32,51.0,cluster_3
61.0,31.0,Jack Sock,false,$1.167,Tommy Haas,May 27 2013,French Open Slam,Round of 64,52.0,cluster_3
57.0,29.0,Guillaume Rufin,false,$1.261,Tommy Haas,May 27 2013,French Open Slam,Round of 128,53.0,cluster_4
61.0,36.0,Ivan Dodig,false,$1.255,Tommy Haas,May 19 2013,Dusseldorf,R16,54.0,cluster_2
67.0,46.0,Mikhail Youzhny,false,$1.444,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,55.0,cluster_2
71.0,36.0,David Ferrer,false,$3.284,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,56.0,cluster_0
52.0,37.0,Tommy Robredo,false,$1.602,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,57.0,cluster_4
50.0,25.0,Andreas Seppi,false,$1.594,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,58.0,cluster_4
63.0,27.0,Philipp Kohlschreiber,false,$1.578,Tommy Haas,Apr 29 2013,Munich,F,59.0,cluster_3
56.0,32.0,Ivan Dodig,false,$1.319,Tommy Haas,Apr 29 2013,Munich,S,60.0,cluster_4
52.0,25.0,Florian Mayer,false,$1.312,Tommy Haas,Apr 29 2013,Munich,Q,61.0,cluster_4
60.0,34.0,Ernests Gulbis,false,$2.139,Tommy Haas,Apr 29 2013,Munich,R16,62.0,cluster_2
63.0,46.0,Ricardas Berankis,false,$1.256,Ricardas Berankis,Apr 8 2013,Houston,R16,63.0,cluster_2
60.0,46.0,David Ferrer,false,$2.881,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,64.0,cluster_2
52.0,21.0,Gilles Simon,false,$1.571,Tommy Haas,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,65.0,cluster_4
