p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
58.0,34.0,Alexandr Dolgopolov,false,$1.550,Fernando Verdasco,Sep 13 2013,Davis Cup,Singles,20.0,cluster_1
60.0,39.0,Ivan Dodig,false,$1.741,Ivan Dodig,Aug 26 2013,US Open Slam,Round of 128,21.0,cluster_1
73.0,38.0,Gael Monfils,false,$2.337,Gael Monfils,Aug 18 2013,Winston-Salem,Q,22.0,cluster_3
63.0,28.0,Robin Haase,false,$1.655,Fernando Verdasco,Aug 18 2013,Winston-Salem,R16,23.0,cluster_0
51.0,41.0,Tim Smyczek,false,$1.450,Fernando Verdasco,Aug 18 2013,Winston-Salem,R32,24.0,cluster_2
67.0,35.0,Robin Haase,false,$1.653,Robin Haase,Jul 28 2013,Kitzb��hel,Q,25.0,cluster_3
51.0,36.0,Guillermo Garcia-Lopez,false,$1.384,Fernando Verdasco,Jul 28 2013,Kitzb��hel,R16,26.0,cluster_2
60.0,36.0,Federico Delbonis,false,$1.445,Federico Delbonis,Jul 15 2013,Hamburg,Q,27.0,cluster_1
50.0,25.0,Jerzy Janowicz,false,$1.786,Fernando Verdasco,Jul 15 2013,Hamburg,R16,28.0,cluster_2
58.0,39.0,Roberto Bautista Agut,false,$1.550,Fernando Verdasco,Jul 15 2013,Hamburg,R32,29.0,cluster_1
65.0,51.0,Carlos Berlocq,false,$1.484,Carlos Berlocq,Jul 8 2013,Bastad,F,30.0,cluster_4
61.0,31.0,Grigor Dimitrov,false,$1.792,Fernando Verdasco,Jul 8 2013,Bastad,S,31.0,cluster_0
57.0,39.0,Nicolas Almagro,false,$2.289,Fernando Verdasco,Jul 8 2013,Bastad,Q,32.0,cluster_1
48.0,26.0,Jan-Lennard Struff,false,$1.233,Fernando Verdasco,Jul 8 2013,Bastad,R16,33.0,cluster_2
64.0,18.0,Andreas Vinciguerra,false,$1.090,Fernando Verdasco,Jul 8 2013,Bastad,R32,34.0,cluster_0
70.0,38.0,Andy Murray,false,$9.817,Andy Murray,Jun 24 2013,Wimbledon Slam,Quarter Final,35.0,cluster_3
60.0,22.0,Kenny De Schepper,false,$1.248,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 16,36.0,cluster_0
60.0,23.0,Ernests Gulbis,false,$2.447,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 32,37.0,cluster_0
63.0,23.0,Julien Benneteau,false,$1.820,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 64,38.0,cluster_0
58.0,32.0,Xavier Malisse,false,$1.976,Fernando Verdasco,Jun 24 2013,Wimbledon Slam,Round of 128,39.0,cluster_0
78.0,29.0,Feliciano Lopez,false,$2.279,Feliciano Lopez,Jun 17 2013,Eastbourne,Q,40.0,cluster_3
44.0,32.0,Albert Ramos,false,$1.487,Fernando Verdasco,Jun 17 2013,Eastbourne,R16,41.0,cluster_2
60.0,27.0,Alexandr Dolgopolov,false,$5.849,Fernando Verdasco,Jun 17 2013,Eastbourne,R32,42.0,cluster_0
63.0,39.0,Janko Tipsarevic,false,$1.764,Janko Tipsarevic,May 27 2013,French Open Slam,Round of 64,43.0,cluster_1
47.0,31.0,Marc Gicquel,false,$1.209,Fernando Verdasco,May 27 2013,French Open Slam,Round of 128,44.0,cluster_2
62.0,38.0,David Ferrer,false,$5.624,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,45.0,cluster_1
70.0,28.0,Horacio Zeballos,false,$1.521,Fernando Verdasco,May 12 2013,ATP World Tour Masters 1000 Rome,R64,46.0,cluster_3
68.0,36.0,Jo-Wilfried Tsonga,false,$3.364,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,47.0,cluster_3
65.0,34.0,Milos Raonic,false,$3.375,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,48.0,cluster_3
56.0,32.0,David Goffin,false,$1.642,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,49.0,cluster_2
73.0,36.0,Ernests Gulbis,false,$2.850,Ernests Gulbis,Apr 22 2013,Barcelona,R32,50.0,cluster_3
