p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
55.0,46.0,Radek Stepanek,$3.436,Andreas Seppi,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Andreas Seppi,false,14.0,cluster_1
63.0,31.0,Sam Querrey,$2.494,Andreas Seppi,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Andreas Seppi,false,15.0,cluster_4
66.0,44.0,Philipp Kohlschreiber,$3.394,Philipp Kohlschreiber,Feb 24 2014,Dubai,R16,Andreas Seppi,false,16.0,cluster_9
55.0,36.0,Florian Mayer,$2.684,Andreas Seppi,Feb 24 2014,Dubai,R32,Andreas Seppi,false,17.0,cluster_6
71.0,37.0,Michael Llodra,$2.288,Michael Llodra,Feb 17 2014,Marseille,R16,Andreas Seppi,false,18.0,cluster_9
57.0,39.0,Donald Young,$1.424,Donald Young,Jan 13 2014,Australian Open Slam,Round of 64,Andreas Seppi,false,19.0,cluster_6
64.0,36.0,Lleyton Hewitt,$4.206,Andreas Seppi,Jan 13 2014,Australian Open Slam,Round of 128,Andreas Seppi,false,20.0,cluster_6
77.0,37.0,Marinko Matosevic,$2.187,Marinko Matosevic,Jan 6 2014,Sydney,R16,Andreas Seppi,false,21.0,cluster_7
51.0,35.0,Simon Greul,$1.104,Andreas Seppi,Nov 4 2013,Ortisei,F,Andreas Seppi,false,22.0,cluster_5
68.0,29.0,Teymuraz Gabashvili,$1.259,Andreas Seppi,Nov 4 2013,Ortisei,S,Andreas Seppi,false,23.0,cluster_4
54.0,26.0,Frank Dancevic,$1.248,Andreas Seppi,Nov 4 2013,Ortisei,Q,Andreas Seppi,false,24.0,cluster_0
52.0,40.0,Farrukh Dustov,$1.138,Andreas Seppi,Nov 4 2013,Ortisei,R16,Andreas Seppi,false,25.0,cluster_5
60.0,18.0,Thiemo de Bakker,$1.175,Andreas Seppi,Nov 4 2013,Ortisei,R32,Andreas Seppi,false,26.0,cluster_3
68.0,40.0,Philipp Kohlschreiber,$2.168,Philipp Kohlschreiber,Oct 28 2013,ATP World Tour Masters 1000 Paris,R64,Andreas Seppi,false,27.0,cluster_9
72.0,33.0,Daniel Brands,$1.514,Daniel Brands,Oct 21 2013,Basel,R32,Andreas Seppi,false,28.0,cluster_4
53.0,47.0,Mikhail Kukushkin,$1.729,Mikhail Kukushkin,Oct 14 2013,Moscow,S,Andreas Seppi,false,29.0,cluster_1
55.0,17.0,Paolo Lorenzi,$1.218,Andreas Seppi,Oct 14 2013,Moscow,R16,Andreas Seppi,false,30.0,cluster_3
65.0,41.0,Roger Federer,$5.857,Roger Federer,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Andreas Seppi,false,31.0,cluster_9
52.0,28.0,Lleyton Hewitt,$2.465,Andreas Seppi,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,Andreas Seppi,false,32.0,cluster_0
69.0,37.0,Stan Wawrinka,$5.132,Stan Wawrinka,Sep 30 2013,Beijing,R32,Andreas Seppi,false,33.0,cluster_9
62.0,40.0,Nicolas Mahut,$1.724,Nicolas Mahut,Sep 16 2013,Metz,R16,Andreas Seppi,false,34.0,cluster_6
61.0,39.0,Denis Istomin,$2.437,Denis Istomin,Aug 26 2013,US Open Slam,Round of 32,Andreas Seppi,false,35.0,cluster_6
58.0,40.0,Somdev Devvarman,$1.508,Andreas Seppi,Aug 26 2013,US Open Slam,Round of 64,Andreas Seppi,false,36.0,cluster_6
60.0,35.0,Xavier Malisse,$1.469,Andreas Seppi,Aug 26 2013,US Open Slam,Round of 128,Andreas Seppi,false,37.0,cluster_6
69.0,37.0,Steve Johnson,$1.799,Steve Johnson,Aug 18 2013,Winston-Salem,R32,Andreas Seppi,false,38.0,cluster_9
78.0,43.0,Stan Wawrinka,$3.219,Stan Wawrinka,Aug 12 2013,ATP World Tour Masters 1000 Cincinnati,R64,Andreas Seppi,false,39.0,cluster_7
67.0,42.0,Kei Nishikori,$2.737,Kei Nishikori,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Andreas Seppi,false,40.0,cluster_9
59.0,39.0,Lukas Rosol,$1.404,Andreas Seppi,Aug 5 2013,ATP World Tour Masters 1000 Canada,R64,Andreas Seppi,false,41.0,cluster_6
61.0,40.0,Tommy Robredo,$2.571,Tommy Robredo,Jul 22 2013,Umag,S,Andreas Seppi,false,42.0,cluster_6
54.0,30.0,Horacio Zeballos,$1.419,Andreas Seppi,Jul 22 2013,Umag,Q,Andreas Seppi,false,43.0,cluster_0
57.0,50.0,Marcel Granollers,$1.623,Marcel Granollers,Jul 15 2013,Hamburg,R32,Andreas Seppi,false,44.0,cluster_1
72.0,39.0,Juan Martin del Potro,$4.205,Juan Martin del Potro,Jun 24 2013,Wimbledon Slam,Round of 16,Andreas Seppi,false,45.0,cluster_7
60.0,36.0,Kei Nishikori,$3.467,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 32,Andreas Seppi,false,46.0,cluster_6
58.0,38.0,Michael Llodra,$2.504,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 64,Andreas Seppi,false,47.0,cluster_6
71.0,31.0,Denis Istomin,$1.611,Andreas Seppi,Jun 24 2013,Wimbledon Slam,Round of 128,Andreas Seppi,false,48.0,cluster_4
55.0,50.0,Gilles Simon,$2.317,Gilles Simon,Jun 17 2013,Eastbourne,S,Andreas Seppi,false,49.0,cluster_1
54.0,32.0,Radek Stepanek,$2.953,Andreas Seppi,Jun 17 2013,Eastbourne,Q,Andreas Seppi,false,50.0,cluster_0
66.0,28.0,Ryan Harrison,$1.655,Andreas Seppi,Jun 17 2013,Eastbourne,R16,Andreas Seppi,false,51.0,cluster_4
56.0,43.0,Guillaume Rufin,$1.490,Andreas Seppi,Jun 17 2013,Eastbourne,R32,Andreas Seppi,false,52.0,cluster_1
74.0,46.0,Nicolas Almagro,$5.085,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,Andreas Seppi,false,53.0,cluster_7
60.0,34.0,Blaz Kavcic,$1.376,Andreas Seppi,May 27 2013,French Open Slam,Round of 64,Andreas Seppi,false,54.0,cluster_6
59.0,36.0,Leonardo Mayer,$1.256,Andreas Seppi,May 27 2013,French Open Slam,Round of 128,Andreas Seppi,false,55.0,cluster_6
55.0,44.0,Yen-Hsun Lu,$1.125,Yen-Hsun Lu,May 19 2013,Nice,R32,Andreas Seppi,false,56.0,cluster_1
66.0,55.0,Fabio Fognini,$2.077,Fabio Fognini,May 12 2013,ATP World Tour Masters 1000 Rome,R64,Andreas Seppi,false,57.0,cluster_8
75.0,50.0,Tommy Haas,$2.566,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Andreas Seppi,false,58.0,cluster_8
67.0,49.0,David Ferrer,$5.094,David Ferrer,Apr 29 2013,Oeiras,S,Andreas Seppi,false,59.0,cluster_8
53.0,33.0,Tommy Robredo,$2.236,Andreas Seppi,Apr 29 2013,Oeiras,Q,Andreas Seppi,false,60.0,cluster_0
45.0,28.0,Alejandro Falla,$1.416,Andreas Seppi,Apr 29 2013,Oeiras,R16,Andreas Seppi,false,61.0,cluster_2
66.0,42.0,Lukas Rosol,$1.424,Lukas Rosol,Apr 22 2013,Bucharest,R16,Andreas Seppi,false,62.0,cluster_9
52.0,46.0,Fabio Fognini,$1.711,Fabio Fognini,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Andreas Seppi,false,63.0,cluster_1
75.0,43.0,Andy Murray,$12.872,Andy Murray,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,Andreas Seppi,false,64.0,cluster_7
64.0,33.0,Thomaz Bellucci,$1.435,Andreas Seppi,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Andreas Seppi,false,65.0,cluster_4
58.0,36.0,Aljaz Bedene,$1.484,Andreas Seppi,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Andreas Seppi,false,66.0,cluster_6
65.0,39.0,Ernests Gulbis,$2.924,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Andreas Seppi,false,67.0,cluster_9
59.0,33.0,Daniel Brands,$1.837,Andreas Seppi,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Andreas Seppi,false,68.0,cluster_0
