p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
58.0,43.0,Thiemo de Bakker,$1.073,Thiemo de Bakker,Aug 5 2013,Bastad,Q,Tomas Berdych,false,59.0,cluster_6
38.0,38.0,Martin Alund,$1.057,Tomas Berdych,Jul 8 2013,Bastad,R16,Tomas Berdych,false,60.0,cluster_1
71.0,39.0,Novak Djokovic,$8.023,Novak Djokovic,Jul 8 2013,Wimbledon Slam,Quarter Final,Tomas Berdych,false,61.0,cluster_4
61.0,29.0,Bernard Tomic,$1.407,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 16,Tomas Berdych,false,62.0,cluster_9
64.0,35.0,Kevin Anderson,$1.208,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 32,Tomas Berdych,false,63.0,cluster_7
63.0,19.0,Daniel Brands,$1.077,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 64,Tomas Berdych,false,64.0,cluster_5
58.0,22.0,Martin Klizan,$1.057,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 128,Tomas Berdych,false,65.0,cluster_5
70.0,29.0,Marin Cilic,$1.396,Marin Cilic,Jun 24 2013,London / Queen's Club,Q,Tomas Berdych,false,66.0,cluster_8
57.0,21.0,Grega Zemlja,$1.096,Tomas Berdych,Jun 10 2013,London / Queen's Club,R16,Tomas Berdych,false,67.0,cluster_5
54.0,28.0,Thiemo de Bakker,$1.129,Tomas Berdych,Jun 10 2013,London / Queen's Club,R32,Tomas Berdych,false,68.0,cluster_9
72.0,32.0,Gael Monfils,$1.252,Gael Monfils,Jun 10 2013,French Open Slam,Round of 128,Tomas Berdych,false,69.0,cluster_8
64.0,36.0,Novak Djokovic,$5.701,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,Tomas Berdych,false,70.0,cluster_7
58.0,30.0,Kevin Anderson,$1.325,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,Tomas Berdych,false,71.0,cluster_9
50.0,23.0,Denis Istomin,$1.138,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R32,Tomas Berdych,false,72.0,cluster_2
63.0,31.0,Stan Wawrinka,$1.939,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,Tomas Berdych,false,73.0,cluster_7
58.0,37.0,Andy Murray,$2.058,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Madrid,Q,Tomas Berdych,false,74.0,cluster_6
60.0,36.0,Kevin Anderson,$1.366,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Tomas Berdych,false,75.0,cluster_7
64.0,38.0,Jerzy Janowicz,$1.351,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Tomas Berdych,false,76.0,cluster_7
62.0,36.0,Tommy Robredo,$1.469,Tommy Robredo,May 5 2013,Barcelona,R16,Tomas Berdych,false,77.0,cluster_7
56.0,45.0,Nikolay Davydenko,$1.454,Tomas Berdych,May 5 2013,Barcelona,R32,Tomas Berdych,false,78.0,cluster_6
67.0,48.0,Fabio Fognini,$1.276,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Tomas Berdych,false,79.0,cluster_0
54.0,39.0,Marcel Granollers,$1.136,Tomas Berdych,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Tomas Berdych,false,80.0,cluster_6
70.0,39.0,Richard Gasquet,$1.446,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,Tomas Berdych,false,81.0,cluster_4
45.0,28.0,Sam Querrey,$1.335,Tomas Berdych,Apr 15 2013,ATP World Tour Masters 1000 Miami,R16,Tomas Berdych,false,82.0,cluster_1
66.0,36.0,Alejandro Falla,$1.069,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Tomas Berdych,false,83.0,cluster_7
64.0,31.0,Daniel Gimeno-Traver,$1.042,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Tomas Berdych,false,84.0,cluster_7
65.0,40.0,Rafael Nadal,$2.809,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,S,Tomas Berdych,false,85.0,cluster_0
62.0,30.0,Kevin Anderson,$1.229,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Tomas Berdych,false,86.0,cluster_9
