p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
57.0,30.0,Yen-Hsun Lu,false,$1.598,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 64,21.0,cluster_1
63.0,21.0,Bradley Klahn,false,$1.200,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 128,22.0,cluster_4
74.0,30.0,Ernests Gulbis,false,$1.591,Ernests Gulbis,Feb 10 2014,Rotterdam,R16,16.0,cluster_3
57.0,40.0,Dmitry Tursunov,false,$1.287,Grigor Dimitrov,Feb 10 2014,Rotterdam,R32,17.0,cluster_0
65.0,30.0,Kevin Anderson,false,$1.484,Grigor Dimitrov,Feb 24 2014,Acapulco,F,11.0,cluster_4
70.0,29.0,Andy Murray,false,$2.861,Grigor Dimitrov,Feb 24 2014,Acapulco,S,12.0,cluster_3
56.0,40.0,Ernests Gulbis,false,$1.830,Grigor Dimitrov,Feb 24 2014,Acapulco,Q,13.0,cluster_0
50.0,32.0,Marcos Baghdatis,false,$1.252,Grigor Dimitrov,Feb 24 2014,Acapulco,R16,14.0,cluster_1
51.0,34.0,Marinko Matosevic,false,$1.323,Grigor Dimitrov,Feb 24 2014,Acapulco,R32,15.0,cluster_0
67.0,39.0,Ernests Gulbis,false,$2.058,Ernests Gulbis,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,9.0,cluster_2
55.0,23.0,Robin Haase,false,$1.158,Grigor Dimitrov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,10.0,cluster_1
72.0,34.0,Kei Nishikori,false,$1.883,Kei Nishikori,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,7.0,cluster_3
64.0,19.0,Albert Montanes,false,$1.065,Grigor Dimitrov,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,8.0,cluster_4
60.0,48.0,David Ferrer,false,$3.378,David Ferrer,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R16,4.0,cluster_0
65.0,22.0,Albert Ramos,false,$1.316,Grigor Dimitrov,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,5.0,cluster_4
53.0,30.0,Marcel Granollers,false,$1.351,Grigor Dimitrov,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,6.0,cluster_1
40.0,20.0,Gael Monfils,false,$1.676,Grigor Dimitrov,Apr 21 2014,Bucharest,S,1.0,cluster_1
57.0,27.0,Sergiy Stakhovsky,false,$1.144,Grigor Dimitrov,Apr 21 2014,Bucharest,Q,2.0,cluster_1
67.0,25.0,Jiri Vesely,false,$1.327,Grigor Dimitrov,Apr 21 2014,Bucharest,R16,3.0,cluster_4
