p2ServePointsWon,p2ReturnPointsWon,player2,outlier,odds,winner,date,tournament,t_round,id,cluster
67.0,51.0,Andy Murray,false,$5.147,Andy Murray,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R32,26.0,cluster_3
57.0,30.0,Aslan Karatsev,false,$1.031,Mikhail Youzhny,Sep 16 2013,St. Petersburg,R32,20.0,cluster_0
66.0,47.0,Novak Djokovic,false,$17.000,Novak Djokovic,Sep 16 2013,US Open Slam,Quarter Final,21.0,cluster_3
54.0,25.0,Denis Istomin,false,$1.460,Mikhail Youzhny,Sep 23 2013,Bangkok,R16,17.0,cluster_0
52.0,25.0,Paolo Lorenzi,false,$1.157,Mikhail Youzhny,Sep 23 2013,Bangkok,R32,18.0,cluster_2
65.0,44.0,Guillermo Garcia-Lopez,false,$1.296,Guillermo Garcia-Lopez,Sep 23 2013,St. Petersburg,R16,19.0,cluster_3
70.0,48.0,Richard Gasquet,false,$2.370,Richard Gasquet,Sep 30 2013,Bangkok,Q,16.0,cluster_3
59.0,48.0,Sam Querrey,false,$1.532,Sam Querrey,Oct 6 2013,Beijing,R32,15.0,cluster_3
50.0,30.0,Dmitry Tursunov,false,$1.698,Mikhail Youzhny,Oct 21 2013,Valencia,S,10.0,cluster_4
66.0,29.0,Jarkko Nieminen,false,$1.531,Mikhail Youzhny,Oct 21 2013,Valencia,Q,11.0,cluster_0
66.0,30.0,Philipp Kohlschreiber,false,$2.057,Mikhail Youzhny,Oct 21 2013,Valencia,R16,12.0,cluster_0
56.0,39.0,Bernard Tomic,false,$1.447,Mikhail Youzhny,Oct 21 2013,Valencia,R32,13.0,cluster_4
70.0,50.0,Pablo Andujar,false,$1.205,Pablo Andujar,Oct 21 2013,ATP World Tour Masters 1000 Shanghai,R64,14.0,cluster_3
57.0,35.0,David Ferrer,false,$3.945,Mikhail Youzhny,Oct 28 2013,Valencia,F,9.0,cluster_4
57.0,59.0,Dudi Sela,false,$1.443,Dudi Sela,Jan 7 2014,Chennai,R16,7.0,cluster_3
67.0,40.0,Kevin Anderson,false,$1.538,Kevin Anderson,Jan 7 2014,ATP World Tour Masters 1000 Paris,R64,8.0,cluster_1
48.0,35.0,Jan-Lennard Struff,false,$1.292,Mikhail Youzhny,Jan 13 2014,Australian Open Slam,Round of 128,6.0,cluster_4
72.0,33.0,Florian Mayer,false,$1.611,Florian Mayer,Feb 3 2014,Australian Open Slam,Round of 64,5.0,cluster_1
61.0,44.0,Bjorn Phau,false,$1.178,Bjorn Phau,Feb 10 2014,Zagreb,R16,4.0,cluster_3
56.0,31.0,James Ward,false,$1.134,Mikhail Youzhny,Mar 3 2014,Dubai,R16,1.0,cluster_4
54.0,27.0,Michal Przysiezny,false,$1.280,Mikhail Youzhny,Mar 3 2014,Dubai,R32,2.0,cluster_0
71.0,49.0,Igor Sijsling,false,$1.663,Igor Sijsling,Mar 3 2014,Rotterdam,R32,3.0,cluster_3
