winner,loser,winner_market_odds,loser_market_odds,winnings,
Tomas Berdych,Alexandr Dolgopolov,1.376,3.447,0.376,
Novak Djokovic,Juan Martin Del Potro,1.378,3.431,0.378,
Philipp Kohlschreiber,Andreas Seppi,1.384,3.394,0.384,
Tomas Berdych,Jo-Wilfried Tsonga,1.384,3.397,0.384,
Ernests Gulbis,Roberto Bautista Agut,1.387,3.378,0.387,
Stan Wawrinka,Milos Raonic,1.391,3.353,0.391,
David Ferrer,Jeremy Chardy,1.395,3.334,0.395,
Stan Wawrinka,Kevin Anderson,1.397,3.323,0.397,
David Ferrer,Tommy Haas,1.404,3.284,0.404,
Tomas Berdych,John Isner,1.412,3.237,0.412,
Marin Cilic,Feliciano Lopez,1.42,2.81,0.42,
Roger Federer,Tommy Haas,1.423,3.184,0.423,
Nicolas Almagro,Jeremy Chardy,1.424,3.176,0.424,
Tommy Haas,Gael Monfils,1.426,3.166,0.426,
David Ferrer,Ernests Gulbis,1.428,3.156,0.428,
Ernests Gulbis,Roberto Bautista Agut,1.432,3.136,0.432,
Tommy Haas,Andreas Seppi,1.445,3.075,0.445,
Kei Nishikori,Feliciano Lopez,1.454,3.036,0.454,
Juan Martin Del Potro,Nicolas Almagro,1.459,3.014,0.459,
Roger Federer,Grigor Dimitrov,1.464,2.996,0.464,
Milos Raonic,Fernando Verdasco,1.466,2.985,0.466,
Marin Cilic,John Isner,1.47,2.971,0.47,
Tomas Berdych,Marin Cilic,1.472,2.962,0.472,
Fabio Fognini,Roberto Bautista Agut,1.482,2.923,0.482,
Tomas Berdych,Feliciano Lopez,1.491,2.889,0.491,
Milos Raonic,Feliciano Lopez,1.506,2.834,0.506,
Ernests Gulbis,Feliciano Lopez,1.513,2.808,0.513,
John Isner,Roberto Bautista Agut,1.53,2.752,0.53,
David Ferrer,Gael Monfils,1.541,2.717,0.541,
Fernando Verdasco,Alexandr Dolgopolov,1.55,2.4,0.55,
Roger Federer,Jo-Wilfried Tsonga,1.554,2.46,0.554,
Richard Gasquet,Jerzy Janowicz,1.567,2.639,0.567,
Jo-Wilfried Tsonga,Philipp Kohlschreiber,1.571,2.628,0.571,
Juan Martin Del Potro,Gael Monfils,1.584,2.593,0.584,
Novak Djokovic,Rafael Nadal,1.592,2.571,0.592,
Alexandr Dolgopolov,Jeremy Chardy,1.598,2.556,0.598,
Stan Wawrinka,Nicolas Almagro,1.609,2.528,0.609,
Gael Monfils,Alexandr Dolgopolov,1.613,2.519,0.613,
Stan Wawrinka,Jo-Wilfried Tsonga,1.653,2.428,0.653,
Rafael Nadal,Roger Federer,1.654,2.424,0.654,
Tommy Haas,Ernests Gulbis,1.669,2.394,0.669,
Richard Gasquet,Mikhail Youzhny,1.68,2.37,0.68,
David Ferrer,Jo-Wilfried Tsonga,1.682,2.367,0.682,
Feliciano Lopez,Gilles Simon,1.685,2.36,0.685,
Milos Raonic,Ernests Gulbis,1.687,2.357,0.687,
Gael Monfils,Fernando Verdasco,1.698,2.337,0.698,
John Isner,Nicolas Almagro,1.708,2.317,0.708,
Tomas Berdych,Grigor Dimitrov,1.713,2.308,0.713,
Fabio Fognini,Tommy Robredo,1.724,2.289,0.724,
Roger Federer,Andy Murray,1.724,2.289,0.724,
Rafael Nadal,Novak Djokovic,1.755,2.236,0.755,
Rafael Nadal,Novak Djokovic,1.755,2.236,0.755,
Alexandr Dolgopolov,Fabio Fognini,1.786,2.187,0.786,
Stan Wawrinka,Tomas Berdych,1.815,2.145,0.815,
Tommy Haas,Fernando Verdasco,1.853,2.095,0.853,
Ernests Gulbis,Grigor Dimitrov,1.883,2.058,0.883,
Tommy Haas,Kevin Anderson,1.93,2.004,0.93,
Roger Federer,Juan Martin Del Potro,1.948,1.985,0.948,
Nicolas Almagro,Fernando Verdasco,1.957,1.976,0.957,
Richard Gasquet,David Ferrer,1.958,1.976,0.958,
Tommy Haas,Grigor Dimitrov,1.976,1.958,0.976,
John Isner,Kevin Anderson,1.985,1.948,0.985,
John Isner,Kevin Anderson,1.995,1.939,0.995,
Tommy Haas,Andreas Seppi,2.004,1.93,1.004,
Mikhail Youzhny,Philipp Kohlschreiber,2.057,1.884,1.057,
Kei Nishikori,Grigor Dimitrov,2.058,1.883,1.058,
Gael Monfils,Richard Gasquet,2.096,1.852,1.096,
Milos Raonic,Tommy Robredo,2.116,1.837,1.116,
Feliciano Lopez,Mikhail Youzhny,2.129,1.827,1.129,
Tommy Haas,Ernests Gulbis,2.139,1.82,1.139,
Kei Nishikori,Marin Cilic,2.144,1.816,1.144,
Lleyton Hewitt,John Isner,2.188,1.786,1.188,
Novak Djokovic,Rafael Nadal,2.236,1.755,1.236,
Novak Djokovic,Rafael Nadal,2.236,1.755,1.236,
Marin Cilic,Tommy Robredo,2.24,1.752,1.24,
John Isner,Philipp Kohlschreiber,2.245,1.749,1.245,
Fabio Fognini,Roberto Bautista Agut,2.27,1.735,1.27,
Jo-Wilfried Tsonga,Fabio Fognini,2.27,1.735,1.27,
Fernando Verdasco,Nicolas Almagro,2.289,1.724,1.289,
Ernests Gulbis,Jo-Wilfried Tsonga,2.327,1.703,1.327,
Fabio Fognini,Tommy Robredo,2.35,1.691,1.35,
Philipp Kohlschreiber,Tommy Robredo,2.465,1.636,1.465,
Fabio Fognini,Tommy Haas,2.571,1.592,1.571,
Philipp Kohlschreiber,Gael Monfils,2.571,1.592,1.571,
Marin Cilic,Jo-Wilfried Tsonga,2.619,1.574,1.619,
Fernando Verdasco,Ernests Gulbis,2.69,1.55,1.69,
Fernando Verdasco,Nicolas Almagro,2.72,1.54,1.72,
Gael Monfils,Milos Raonic,2.73,1.51,1.73,
Mikhail Youzhny,Tommy Haas,2.762,1.527,1.762,
Fabio Fognini,Tommy Robredo,2.983,1.467,1.983,
Mikhail Youzhny,Philipp Kohlschreiber,3.131,1.433,2.131,
Tommy Robredo,Stan Wawrinka,3.178,1.424,2.178,
Marin Cilic,Tomas Berdych,3.326,1.396,2.326,
Philipp Kohlschreiber,John Isner,3.6,1.353,2.6,
Stan Wawrinka,Andy Murray,4.08,1.29,3.08,
Andreas Seppi,Lleyton Hewitt,4.206,1.283,3.206,
Lleyton Hewitt,Juan Martin del Potro,8.377,1.114,7.377,
Roberto Bautista Agut,Juan Martin del Potro,13.033,1.064,12.033,
,,,,14.928,
