winner,loser,tournament,winner_market_odds,loser_market_odds,winnings
Philipp Kohlschreiber,Gael Monfils,Stuttgart,2.571,1.592,1.571
Fernando Verdasco,Nicolas Almagro,Bastad,2.289,1.724,1.289
Andy Murray,Mikhail Youzhny,Wimbledon Slam,1.077,11.256,0.077
Fernando Verdasco,Jerzy Janowicz,Hamburg,1.786,2.187,-1
John Isner,Lleyton Hewitt,Atlanta,1.816,2.144,-1
Tommy Robredo,Andreas Seppi,Umag,1.592,2.571,-1
John Isner,Kevin Anderson,Atlanta,1.995,1.939,0.995
Tommy Haas,Grigor Dimitrov,Washington,1.976,1.958,0.976
Fabio Fognini,Tommy Haas,Hamburg,2.571,1.592,1.571
Ernests Gulbis,Feliciano Lopez,ATP World Tour Masters 1000 Canada,1.513,2.808,0.513
Juan Martin Del Potro,Kevin Anderson,Washington,1.315,3.902,0.315
Juan Martin Del Potro,Tommy Haas,Washington,1.279,4.247,0.279
Kei Nishikori,Andreas Seppi,ATP World Tour Masters 1000 Canada,1.535,2.737,-1
Milos Raonic,Ernests Gulbis,ATP World Tour Masters 1000 Canada,1.687,2.357,0.687
Milos Raonic,Jeremy Chardy,ATP World Tour Masters 1000 Canada,1.272,4.33,-1
Feliciano Lopez,Gilles Simon,Wimbledon Slam,1.685,2.36,0.685
Feliciano Lopez,Jeremy Chardy,ATP World Tour Masters 1000 Cincinnati,1.806,2.159,-1
John Isner,Juan Martin Del Potro,ATP World Tour Masters 1000 Cincinnati,2.962,1.472,-1
Rafael Nadal,Roger Federer,ATP World Tour Masters 1000 Cincinnati,1.318,3.874,0.318
Tommy Haas,Kevin Anderson,ATP World Tour Masters 1000 Cincinnati,1.93,2.004,0.93
Rafael Nadal,Grigor Dimitrov,ATP World Tour Masters 1000 Cincinnati,1.168,6.217,0.168
Feliciano Lopez,Kei Nishikori,ATP World Tour Masters 1000 Cincinnati,3.151,1.429,-1
John Isner,Milos Raonic,ATP World Tour Masters 1000 Cincinnati,1.724,2.289,-1
Tommy Robredo,Stan Wawrinka,ATP World Tour Masters 1000 Cincinnati,3.178,1.424,2.178
Rafael Nadal,Tomas Berdych,ATP World Tour Masters 1000 Cincinnati,1.343,3.668,0.343
Fabio Fognini,Gael Monfils,Umag,1.559,2.662,-1
Tomas Berdych,Tommy Robredo,ATP World Tour Masters 1000 Cincinnati,1.224,4.996,-1
Stan Wawrinka,Tomas Berdych,US Open Slam,3.467,1.373,-1
Novak Djokovic,Mikhail Youzhny,US Open Slam,1.04,17,0.04
Roger Federer,Tommy Haas,ATP World Tour Masters 1000 Cincinnati,1.423,3.184,0.423
Lleyton Hewitt,Juan Martin del Potro,US Open Slam,8.377,1.114,7.377
John Isner,Gael Monfils,US Open Slam,1.424,3.178,-1
Gael Monfils,Alexandr Dolgopolov,Winston-Salem,1.613,2.519,0.613
Gael Monfils,Fernando Verdasco,Winston-Salem,1.698,2.337,0.698
Rafael Nadal,Novak Djokovic,US Open Slam,1.755,2.236,0.755
Rafael Nadal,Novak Djokovic,US Open Slam,1.755,2.236,0.755
Gael Monfils,Tommy Robredo,Winston-Salem,1.611,2.523,-1
Stan Wawrinka,Andy Murray,US Open Slam,4.08,1.29,3.08
Mikhail Youzhny,Lleyton Hewitt,US Open Slam,1.594,2.567,-1
Mikhail Youzhny,Alexandr Dolgopolov,US Open Slam,1.646,2.442,-1
Andy Murray,Mikhail Youzhny,ATP World Tour Masters 1000 Cincinnati,1.215,5.147,0.215
David Ferrer,Roberto Bautista Agut,US Open Slam,1.177,5.965,0.177
Philipp Kohlschreiber,John Isner,US Open Slam,3.6,1.353,2.6
Fernando Verdasco,Alexandr Dolgopolov,Davis Cup,1.55,2.4,0.55
Gilles Simon,Jo-Wilfried Tsonga,Metz,3.222,1.415,-1
Richard Gasquet,Mikhail Youzhny,Bangkok,1.68,2.37,0.68
Milos Raonic,Feliciano Lopez,Bangkok,1.506,2.834,0.506
Juan Martin Del Potro,Alexandr Dolgopolov,Tokyo,1.231,4.879,-1
Richard Gasquet,David Ferrer,Beijing,1.958,1.976,0.958
Mikhail Youzhny,Tommy Haas,US Open Slam,2.762,1.527,1.762
Rafael Nadal,Fabio Fognini,Beijing,1.065,12.872,0.065
Rafael Nadal,Philipp Kohlschreiber,Beijing,1.068,12.462,0.068
Kei Nishikori,Feliciano Lopez,Tokyo,1.454,3.036,0.454
Juan Martin Del Potro,Milos Raonic,Tokyo,1.724,2.289,-1
Jo-Wilfried Tsonga,Gael Monfils,Tokyo,1.543,2.712,-1
Stan Wawrinka,Andreas Seppi,Beijing,1.216,5.132,0.216
Roberto Bautista Agut,Grigor Dimitrov,Beijing,2.407,1.663,-1
Tomas Berdych,Feliciano Lopez,ATP World Tour Masters 1000 Shanghai,1.491,2.889,0.491
Novak Djokovic,Fabio Fognini,ATP World Tour Masters 1000 Shanghai,1.085,10.46,0.085
Roger Federer,Andreas Seppi,ATP World Tour Masters 1000 Shanghai,1.182,5.857,0.182
Novak Djokovic,Richard Gasquet,Beijing,1.109,8.672,0.109
Lleyton Hewitt,Tommy Haas,Beijing,2.579,1.589,-1
Juan Martin Del Potro,Rafael Nadal,ATP World Tour Masters 1000 Shanghai,3.814,1.325,-1
Milos Raonic,Fernando Verdasco,ATP World Tour Masters 1000 Shanghai,1.466,2.985,0.466
Rafael Nadal,Stan Wawrinka,ATP World Tour Masters 1000 Shanghai,1.206,5.327,0.206
Stan Wawrinka,Kevin Anderson,ATP World Tour Masters 1000 Shanghai,1.397,3.323,0.397
Juan Martin Del Potro,Philipp Kohlschreiber,ATP World Tour Masters 1000 Shanghai,1.259,4.493,-1
Nicolas Almagro,Fabio Fognini,Valencia,1.445,3.075,-1
Juan Martin Del Potro,Nicolas Almagro,ATP World Tour Masters 1000 Shanghai,1.459,3.014,0.459
Roger Federer,Grigor Dimitrov,Basel,1.464,2.996,0.464
Jeremy Chardy,John Isner,Valencia,3.151,1.429,-1
John Isner,Ernests Gulbis,Valencia,2.364,1.683,-1
Mikhail Youzhny,Philipp Kohlschreiber,Valencia,2.057,1.884,1.057
David Ferrer,Tomas Berdych,ATP World Tour Masters 1000 Paris,1.976,1.958,-1
Juan Martin Del Potro,Grigor Dimitrov,ATP World Tour Masters 1000 Paris,1.362,3.538,0.362
Novak Djokovic,Juan Martin Del Potro,ATP World Tour Masters 1000 Shanghai,1.378,3.431,0.378
Roger Federer,Juan Martin Del Potro,ATP World Tour Masters 1000 Paris,1.948,1.985,0.948
Roger Federer,Philipp Kohlschreiber,ATP World Tour Masters 1000 Paris,1.248,4.632,0.248
Roger Federer,Kevin Anderson,ATP World Tour Masters 1000 Paris,1.176,5.989,0.176
Juan Martin Del Potro,Roger Federer,Basel,1.773,2.207,-1
Richard Gasquet,Kei Nishikori,ATP World Tour Masters 1000 Paris,1.479,2.933,-1
Richard Gasquet,Fernando Verdasco,ATP World Tour Masters 1000 Paris,1.345,3.654,-1
