p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
58,41,Novak Djokovic,$5.821,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,S,Juan Martin Del Potro,FALSE,12,cluster_1,-0.17,5
43,27,Tommy Haas,$1.272,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Juan Martin Del Potro,FALSE,16,cluster_0,0.23,1
71,39,Novak Djokovic,$7.226,Novak Djokovic,Mar 6 2013,Dubai,S,Juan Martin Del Potro,FALSE,22,cluster_4,-0.45,6
72,42,Novak Djokovic,$23.285,Novak Djokovic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Grigor Dimitrov,FALSE,75,cluster_3,-1.24,12
58,41,Juan Martin Del Potro,$1.183,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,S,Novak Djokovic,FALSE,87,cluster_4,1.27,26
57,40,Stan Wawrinka,$1.264,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Roger Federer,FALSE,59,cluster_1,0.47,10
62,50,Tomas Berdych,$2.509,Tomas Berdych,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Richard Gasquet,FALSE,67,cluster_1,-1,18
64,35,Rafael Nadal,$1.090,Rafael Nadal,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Ernests Gulbis,FALSE,72,cluster_4,1.37,26
60,34,Andreas Seppi,$1.482,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Ernests Gulbis,FALSE,73,cluster_4,1.39,33
72,56,Juan Martin Del Potro,$4.328,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,Tommy Haas,FALSE,77,cluster_1,-1.02,19
63,31,Nicolas Almagro,$2.428,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Tommy Haas,FALSE,78,cluster_4,1.4,29
72,41,Stan Wawrinka,$3.984,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Lleyton Hewitt,FALSE,49,cluster_0,-0.17,10
66,30,John Isner,$2.933,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,Lleyton Hewitt,FALSE,50,cluster_1,1.46,20
69,33,Lleyton Hewitt,$1.479,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,John Isner,FALSE,73,cluster_3,0.73,17
