player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Roger Federer,Stan Wawrinka,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$1.264,$4.432,0.47,0.25,10,16
Ernests Gulbis,Andreas Seppi,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$1.482,$2.924,1.39,-1.11,33,25
Tommy Haas,Juan Martin Del Potro,Juan Martin Del Potro,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$4.328,$1.272,-1.02,0.23,19,1
Tommy Haas,Nicolas Almagro,Tommy Haas,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$2.428,$1.653,1.4,0.43,29,16
Lleyton Hewitt,Stan Wawrinka,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$3.984,$1.306,-0.17,2.31,10,27
Lleyton Hewitt,John Isner,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,$2.933,$1.479,1.46,0.73,20,17
John Isner,Lleyton Hewitt,Lleyton Hewitt,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R64,$1.479,$2.933,0.73,1.46,17,20
Milos Raonic,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$2.197,$1.780,0.93,-0.04,11,16
Milos Raonic,Marin Cilic,Milos Raonic,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$1.852,$2.096,0.53,-0.07,19,20
Andreas Seppi,Ernests Gulbis,Ernests Gulbis,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$2.924,$1.482,-1.11,1.39,25,33
Jo-Wilfried Tsonga,Milos Raonic,Jo-Wilfried Tsonga,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$1.780,$2.197,-0.04,0.93,16,11
Stan Wawrinka,Roger Federer,Roger Federer,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R16,$4.432,$1.264,0.25,0.47,16,10
Stan Wawrinka,Lleyton Hewitt,Stan Wawrinka,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,$1.306,$3.984,2.31,-0.17,27,10
Nicolas Almagro,Richard Gasquet,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$2.106,$1.845,0.2,1.38,12,23
Kevin Anderson,Tomas Berdych,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,$4.915,$1.229,-0.77,2.38,18,32
Tomas Berdych,Kevin Anderson,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,$1.229,$4.915,2.38,-0.77,32,18
Marin Cilic,Jo-Wilfried Tsonga,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$2.791,$1.518,1.71,-0.19,16,5
Marin Cilic,John Isner,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$1.598,$2.557,1.69,-1.04,23,15
David Ferrer,Tommy Haas,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,$1.493,$2.881,3.8,0.05,37,21
Richard Gasquet,Tomas Berdych,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,Q,$3.071,$1.446,0.85,-0.28,26,17
Richard Gasquet,Nicolas Almagro,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$1.845,$2.106,1.38,0.2,23,12
Richard Gasquet,Mikhail Youzhny,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$1.272,$4.328,2.7,-1.34,19,19
Tommy Haas,David Ferrer,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,S,$2.881,$1.493,0.05,3.8,21,37
John Isner,Marin Cilic,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$2.557,$1.598,-1.04,1.69,15,23
Kei Nishikori,David Ferrer,David Ferrer,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$3.668,$1.592,-1.15,0.2,12,4
Jo-Wilfried Tsonga,Marin Cilic,Marin Cilic,Mar 18 2013,ATP World Tour Masters 1000 Miami,R16,$1.518,$2.791,-0.19,1.71,5,16
Mikhail Youzhny,Richard Gasquet,Richard Gasquet,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,$4.328,$1.272,-1.34,2.7,19,19
Ernests Gulbis,John Isner,Ernests Gulbis,Apr 5 2013,ATP World Tour Masters 1000 Monte Carlo,R64,$1.456,$3.026,2.02,-0.86,21,14
Nicolas Almagro,John Isner,John Isner,Apr 8 2013,Houston,F,$1.279,$4.247,0.03,0.71,9,17
Nicolas Almagro,Gael Monfils,Nicolas Almagro,Apr 8 2013,Houston,R16,$1.228,$4.940,0.96,-0.62,16,18
John Isner,Nicolas Almagro,John Isner,Apr 8 2013,Houston,F,$4.247,$1.279,0.71,0.03,17,9
Tommy Robredo,Kevin Anderson,Tommy Robredo,Apr 8 2013,Casablanca,F,$2.226,$1.761,0.4,0.08,17,9
Tommy Robredo,Stan Wawrinka,Tommy Robredo,Apr 8 2013,Casablanca,S,$4.328,$1.272,1.08,0.82,22,21
