player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Nicolas Almagro,John Isner,John Isner,Apr 8 2013,Houston,F,$1.279,$4.247,0.03,0.63,8,12
Nicolas Almagro,Gael Monfils,Nicolas Almagro,Apr 8 2013,Houston,R16,$1.228,$4.940,1.05,-1.22,13,10
John Isner,Nicolas Almagro,John Isner,Apr 8 2013,Houston,F,$4.247,$1.279,0.63,0.03,12,8
Tommy Robredo,Kevin Anderson,Tommy Robredo,Apr 8 2013,Casablanca,F,$2.226,$1.761,0.89,0.06,8,8
Tommy Robredo,Stan Wawrinka,Tommy Robredo,Apr 8 2013,Casablanca,S,$4.328,$1.272,1.18,-0.27,21,11
Stan Wawrinka,Tommy Robredo,Tommy Robredo,Apr 8 2013,Casablanca,S,$1.272,$4.328,-0.27,1.18,11,21
Kevin Anderson,Tommy Robredo,Tommy Robredo,Apr 15 2013,Casablanca,F,$1.761,$2.226,0.06,0.89,8,8
Tomas Berdych,Richard Gasquet,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,$1.446,$3.071,-0.85,1.3,13,19
Marin Cilic,Richard Gasquet,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,$2.370,$1.680,-0.33,1.21,5,18
Marin Cilic,Kevin Anderson,Marin Cilic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$1.369,$3.487,1.78,-1.22,7,6
Novak Djokovic,Mikhail Youzhny,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$1.089,$10.139,2.78,-1.77,15,11
Richard Gasquet,Marin Cilic,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R16,$1.680,$2.370,1.21,-0.33,18,5
John Isner,Ernests Gulbis,Ernests Gulbis,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,$3.026,$1.456,-1.13,1.85,8,9
Gael Monfils,Nicolas Almagro,Nicolas Almagro,Apr 15 2013,Houston,R16,$4.940,$1.228,-1.22,1.05,10,13
Jo-Wilfried Tsonga,Stan Wawrinka,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,$2.125,$1.830,-0.52,2.33,6,25
Stan Wawrinka,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,Q,$1.830,$2.125,2.33,-0.52,25,6
Mikhail Youzhny,Novak Djokovic,Novak Djokovic,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$10.139,$1.089,-1.77,2.78,11,15
Nicolas Almagro,Rafael Nadal,Rafael Nadal,Apr 22 2013,Barcelona,F,$8.289,$1.116,-0.06,2.37,3,28
Grigor Dimitrov,Tommy Robredo,Tommy Robredo,Apr 22 2013,Barcelona,R32,$1.611,$2.523,-1.04,2.27,7,9
Ernests Gulbis,Milos Raonic,Milos Raonic,Apr 22 2013,Barcelona,R16,$2.638,$1.568,-1.31,0.74,15,4
Ernests Gulbis,Fernando Verdasco,Ernests Gulbis,Apr 22 2013,Barcelona,R32,$1.400,$2.850,2.08,-0.63,13,16
Rafael Nadal,Nicolas Almagro,Rafael Nadal,Apr 22 2013,Barcelona,F,$1.116,$8.289,2.37,-0.06,28,3
Milos Raonic,Tommy Robredo,Milos Raonic,Apr 22 2013,Barcelona,Q,$1.445,$3.075,0.45,-1.17,10,12
Milos Raonic,Ernests Gulbis,Milos Raonic,Apr 22 2013,Barcelona,R16,$1.568,$2.638,0.74,-1.31,4,15
Tommy Robredo,Milos Raonic,Milos Raonic,Apr 22 2013,Barcelona,Q,$3.075,$1.445,-1.17,0.45,12,10
Tommy Robredo,Tomas Berdych,Tommy Robredo,Apr 22 2013,Barcelona,R16,$2.975,$1.469,1.06,-0.72,19,11
Tommy Robredo,Grigor Dimitrov,Tommy Robredo,Apr 22 2013,Barcelona,R32,$2.523,$1.611,2.27,-1.04,9,7
Fernando Verdasco,Ernests Gulbis,Ernests Gulbis,Apr 22 2013,Barcelona,R32,$2.850,$1.400,-0.63,2.08,16,13
David Ferrer,Andreas Seppi,David Ferrer,Apr 29 2013,Oeiras,S,$1.219,$5.094,3.64,-1.52,16,8
Ernests Gulbis,Tommy Haas,Tommy Haas,Apr 29 2013,Munich,R16,$1.820,$2.139,-0.26,0.9,6,21
Tommy Haas,Ernests Gulbis,Tommy Haas,Apr 29 2013,Munich,R16,$2.139,$1.820,0.9,-0.26,21,6
Tommy Robredo,Andreas Seppi,Andreas Seppi,Apr 29 2013,Oeiras,Q,$1.755,$2.236,-0.78,1.79,6,17
Andreas Seppi,David Ferrer,David Ferrer,Apr 29 2013,Oeiras,S,$5.094,$1.219,-1.52,3.64,8,16
Andreas Seppi,Tommy Robredo,Andreas Seppi,Apr 29 2013,Oeiras,Q,$2.236,$1.755,1.79,-0.78,17,6
Kevin Anderson,Marin Cilic,Marin Cilic,May 5 2013,ATP World Tour Masters 1000 Monte Carlo,R32,$3.487,$1.369,-1.22,1.78,6,7
Tomas Berdych,Kevin Anderson,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.366,$3.510,0.26,0.13,10,3
