p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
62,48,Maximo Gonzalez,$1.084,Maximo Gonzalez,Aug 12 2013,US Open Slam,Round of 128,Jerzy Janowicz
65,27,Andreas Haider-Maurer,$1.340,Jerzy Janowicz,Jul 16 2012,Poznan,S,Jerzy Janowicz
60,32,Victor Estrella Burgos,$1.233,Jerzy Janowicz,May 21 2014,French Open Slam,Round of 128,Jerzy Janowicz
63,29,Marek Michalicka,$1.130,Jerzy Janowicz,May 12 2013,Poznan,R16,Jerzy Janowicz
46,37,Artem Smirnov,$1.120,Jerzy Janowicz,Sep 17 2012,Szczecin,R16,Jerzy Janowicz
62,29,Yannick Mertens,$1.280,Jerzy Janowicz,Sep 14 2012,Szczecin,R32,Jerzy Janowicz
53,35,Jonathan Dasnieres de Veigy,$1.270,Jerzy Janowicz,Jul 16 2012,Poznan,F,Jerzy Janowicz
84,44,Florian Mayer,$1.550,Florian Mayer,Jan 13 2014,Australian Open Slam,Round of 32,Jerzy Janowicz
56,33,Jarkko Nieminen,$1.793,Jerzy Janowicz,May 21 2014,French Open Slam,Round of 64,Jerzy Janowicz
62,11,Daniel Brands,$1.600,Jerzy Janowicz,Sep 17 2012,Mons,R32,Jerzy Janowicz
75,46,Inigo Cervantes,$1.330,Inigo Cervantes,Sep 17 2012,Szczecin,Q,Jerzy Janowicz
68,47,Tobias Kamke,$1.710,Tobias Kamke,Oct 1 2012,Mons,Q,Jerzy Janowicz
55,31,Benjamin Becker,$1.615,Jerzy Janowicz,Oct 1 2012,Moscow,R32,Jerzy Janowicz
68,14,Carlos Berlocq,$1.555,Jerzy Janowicz,Oct 15 2012,Moscow,R16,Jerzy Janowicz
64,29,Evgeny Donskoy,$1.550,Jerzy Janowicz,Oct 1 2012,Mons,R16,Jerzy Janowicz
65,33,Thomaz Bellucci,$2.127,Thomaz Bellucci,Oct 15 2012,Moscow,Q,Jerzy Janowicz
76,41,Richard Gasquet,$3.608,Richard Gasquet,Mar 6 2013,ATP World Tour Masters 1000 Indian Wells,R32,Jerzy Janowicz
74,27,Tomas Berdych,$3.431,Tomas Berdych,Feb 18 2013,Marseille,Q,Jerzy Janowicz
73,21,Philipp Kohlschreiber,$2.421,Jerzy Janowicz,Oct 29 2012,ATP World Tour Masters 1000 Paris,R64,Jerzy Janowicz
58,41,David Nalbandian,$2.509,Jerzy Janowicz,Feb 18 2013,ATP World Tour Masters 1000 Indian Wells,R64,Jerzy Janowicz
73,40,Albert Ramos,$2.960,Albert Ramos,Apr 22 2013,Barcelona,R32,Jerzy Janowicz
64,36,Thomaz Bellucci,$1.489,Thomaz Bellucci,Mar 6 2013,ATP World Tour Masters 1000 Miami,R64,Jerzy Janowicz
67,35,Kevin Anderson,$2.240,Kevin Anderson,Apr 15 2013,ATP World Tour Masters 1000 Monte Carlo,R64,Jerzy Janowicz
