p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
48,34,Victor Hanescu,$1.513,Philipp Kohlschreiber,May 27 2013,French Open Slam,Round of 32,Philipp Kohlschreiber
67,34,Novak Djokovic,$15.130,Novak Djokovic,May 27 2013,French Open Slam,Round of 16,Philipp Kohlschreiber
61,32,Pablo Carreno Busta,$1.226,Philipp Kohlschreiber,Jan 13 2014,Auckland,R32,Philipp Kohlschreiber
54,12,Horacio Zeballos,$1.192,Philipp Kohlschreiber,Jan 13 2014,Auckland,R16,Philipp Kohlschreiber
70,33,Ivan Dodig,$1.454,Ivan Dodig,Jun 24 2013,Wimbledon Slam,Round of 128,Philipp Kohlschreiber
60,35,Daniel Evans,$1.219,Daniel Evans,Feb 3 2014,Zagreb,Q,Philipp Kohlschreiber
59,20,Sergiy Stakhovsky,$1.640,Philipp Kohlschreiber,Feb 10 2014,Rotterdam,R32,Philipp Kohlschreiber
56,34,Richard Gasquet,$2.129,Philipp Kohlschreiber,Feb 10 2014,Rotterdam,R16,Philipp Kohlschreiber
55,14,Andrey Golubev,$1.374,Philipp Kohlschreiber,Feb 3 2014,Zagreb,R16,Philipp Kohlschreiber
68,39,Igor Sijsling,$1.687,Igor Sijsling,Feb 10 2014,Rotterdam,Q,Philipp Kohlschreiber
58,31,Thiemo de Bakker,$1.247,Philipp Kohlschreiber,Feb 24 2014,Dubai,R32,Philipp Kohlschreiber
55,33,Andreas Seppi,$1.384,Philipp Kohlschreiber,Feb 24 2014,Dubai,R16,Philipp Kohlschreiber
52,23,Malek Jaziri,$1.127,Philipp Kohlschreiber,Feb 24 2014,Dubai,Q,Philipp Kohlschreiber
73,48,Yen-Hsun Lu,$1.345,Yen-Hsun Lu,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Philipp Kohlschreiber
65,49,Marinko Matosevic,$1.300,Marinko Matosevic,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Philipp Kohlschreiber
57,38,Jerzy Janowicz,$1.868,Philipp Kohlschreiber,May 12 2014,ATP World Tour Masters 1000 Rome,R64,Philipp Kohlschreiber
71,34,Tomas Berdych,$6.716,Tomas Berdych,Feb 24 2014,Dubai,S,Philipp Kohlschreiber
65,50,Novak Djokovic,$7.365,Novak Djokovic,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Philipp Kohlschreiber
53,34,Tommy Robredo,$2.465,Philipp Kohlschreiber,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Philipp Kohlschreiber
