date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Jul 22 2013,$1.421,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=3&p=H432,Edouard Roger-Vasselin,Atlanta,Lleyton Hewitt,Edouard Roger-Vasselin,Lleyton Hewitt,R32,88,7,43,82,62,20,62,33,,,,,,,70,36,4,46,79,50,17,,0,,,,,,,63,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=3&p=H432
Jul 8 2013,$2.014,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=7&p=M873,Nicolas Mahut,Newport,Lleyton Hewitt,Nicolas Mahut,Nicolas Mahut,F,140,8,44,62,53,15,53,44,,,,,,,57,35,14,59,84,35,37,,38,,,,,,,64,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=7&p=M873
Jul 8 2013,$2.188,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=6&p=H432,John Isner,Newport,Lleyton Hewitt,John Isner,Lleyton Hewitt,S,131,6,45,81,55,35,55,33,,,,,,,67,43,13,58,64,46,18,,60,,,,,,,56,32,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=6&p=H432
Jul 8 2013,$1.172,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=5&p=H432,Jan Hernych,Newport,Lleyton Hewitt,Jan Hernych,Lleyton Hewitt,Q,121,4,47,82,58,36,58,31,,,,,,,70,42,6,59,63,47,17,,40,,,,,,,57,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=5&p=H432
Jul 8 2013,$1.103,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=4&p=H432,Prakash Amritraj,Newport,Lleyton Hewitt,Prakash Amritraj,Lleyton Hewitt,R16,64,10,55,74,46,45,46,83,,,,,,,61,58,1,51,54,28,25,,12,,,,,,,41,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=4&p=H432
Jul 8 2013,$1.314,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=3&p=H432,Matthew Ebden,Newport,Lleyton Hewitt,Matthew Ebden,Lleyton Hewitt,R32,76,7,45,66,62,26,62,71,,,,,,,64,52,1,38,73,32,33,,40,,,,,,,48,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=3&p=H432
Jun 24 2013,$1.122,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604220,Dustin Brown,Wimbledon Slam,Lleyton Hewitt,Dustin Brown,Dustin Brown,Round of 64,146,12,55,72,50,24,50,10,42,13,,,168,140,62,34,21,64,76,47,28,50,83,74,22,,,188,170,66,38,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604220
Jun 24 2013,$2.380,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604140,Stan Wawrinka,Wimbledon Slam,Lleyton Hewitt,Stan Wawrinka,Lleyton Hewitt,Round of 128,132,5,57,66,60,35,60,40,32,11,,,172,140,64,42,12,60,65,48,34,,20,44,37,,,183,159,58,36,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604140
Jun 10 2013,$2.308,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=6&p=C977,Marin Cilic,London / Queen's Club,Lleyton Hewitt,Marin Cilic,Marin Cilic,S,141,7,52,68,40,24,40,30,,,,,,,55,36,11,58,76,45,31,,35,,,,,,,63,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=6&p=C977
Jun 10 2013,$3.141,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=H432,Juan Martin del Potro,London / Queen's Club,Lleyton Hewitt,Juan Martin Del Potro,Lleyton Hewitt,Q,100,8,56,71,51,31,51,80,,,,,,,62,40,10,66,68,40,28,,33,,,,,,,59,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=5&p=H432
Jun 10 2013,$1.884,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=H432,Sam Querrey,London / Queen's Club,Lleyton Hewitt,Sam Querrey,Lleyton Hewitt,R16,119,6,63,78,52,23,52,25,,,,,,,68,36,20,64,76,41,21,,11,,,,,,,64,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=4&p=H432
Jun 10 2013,$2.912,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=3&p=H432,Grigor Dimitrov,London / Queen's Club,Lleyton Hewitt,Grigor Dimitrov,Lleyton Hewitt,R32,68,3,50,69,76,32,76,75,,,,,,,73,41,3,58,67,45,30,,0,,,,,,,58,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=3&p=H432
Jun 10 2013,$1.133,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=2&p=H432,Michael Russell,London / Queen's Club,Lleyton Hewitt,Michael Russell,Lleyton Hewitt,R64,118,8,48,72,54,36,54,62,,,,,,,62,43,1,64,64,42,27,,18,,,,,,,56,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=311&y=2013&r=2&p=H432
May 27 2013,$6.612,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224157,Gilles Simon,French Open Slam,Lleyton Hewitt,Gilles Simon,Gilles Simon,Round of 128,199,4,49,60,41,40,41,90,44,72,,,170,137,50,43,7,59,60,52,40,59,71,41,49,,,176,131,57,50,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224157
May 19 2013,$3.706,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=3&p=A596,Pablo Andujar,Nice,Lleyton Hewitt,Pablo Andujar,Pablo Andujar,R32,130,3,53,58,40,39,40,36,,,,,,,50,42,0,59,60,52,42,,46,,,,,,,57,50,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6120&y=2013&r=3&p=A596
Apr 8 2013,$1.604,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=3&p=A539,Martin Alund,Houston,Lleyton Hewitt,Martin Alund,Martin Alund,R32,110,1,40,62,57,31,57,40,,,,,,,59,34,3,44,68,62,37,,50,,,,,,,65,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=3&p=A539
Mar 18 2013,$2.709,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=SD32,Gilles Simon,ATP World Tour Masters 1000 Miami,Lleyton Hewitt,Gilles Simon,Gilles Simon,R64,77,2,43,57,41,20,41,66,,,,,,,48,35,2,47,80,50,42,,45,,,,,,,64,51,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=SD32
Mar 18 2013,$1.197,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=1&p=H432,Joao Sousa,ATP World Tour Masters 1000 Miami,Lleyton Hewitt,Joao Sousa,Lleyton Hewitt,R128,107,11,46,70,47,41,47,71,,,,,,,57,53,1,60,58,29,29,,27,,,,,,,46,42,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=1&p=H432
Mar 6 2013,$3.984,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=W367,Stan Wawrinka,ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,Stan Wawrinka,Stan Wawrinka,R32,84,1,48,72,45,23,45,25,,,,,,,58,27,5,51,76,67,27,,42,,,,,,,72,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=W367
Mar 6 2013,$2.933,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=H432,John Isner,ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,John Isner,Lleyton Hewitt,R64,143,3,52,71,66,27,66,22,,,,,,,69,33,18,59,72,59,28,,0,,,,,,,66,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=H432
Mar 6 2013,$1.551,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=1&p=H432,Lukas Rosol,ATP World Tour Masters 1000 Indian Wells,Lleyton Hewitt,Lukas Rosol,Lleyton Hewitt,R128,95,3,55,68,55,41,55,33,,,,,,,62,44,5,59,58,51,31,,40,,,,,,,55,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=1&p=H432
Feb 18 2013,$2.380,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=4&p=I165,Denis Istomin,Memphis,Lleyton Hewitt,Denis Istomin,Denis Istomin,R16,59,2,48,61,27,27,27,0,,,,,,,44,32,7,56,72,60,38,,66,,,,,,,67,55,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=4&p=I165
Feb 18 2013,$1.584,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=3&p=H432,Yen-Hsun Lu,Memphis,Lleyton Hewitt,Yen-Hsun Lu,Lleyton Hewitt,R32,141,9,53,69,45,37,45,44,,,,,,,58,45,7,66,62,41,30,,50,,,,,,,55,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=3&p=H432
Feb 11 2013,$3.282,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=4&p=Q927,Sam Querrey,San Jose,Lleyton Hewitt,Sam Querrey,Sam Querrey,R16,135,10,61,74,59,25,59,30,,,,,,,68,33,20,61,74,53,25,,33,,,,,,,66,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=4&p=Q927
Feb 11 2013,$1.483,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=3&p=H432,Blaz Kavcic,San Jose,Lleyton Hewitt,Blaz Kavcic,Lleyton Hewitt,R32,155,4,49,73,47,20,47,57,,,,,,,60,35,7,64,80,36,26,,30,,,,,,,64,39,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=424&y=2013&r=3&p=H432
Jan 14 2013,$2.289,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954132,Janko Tipsarevic,Australian Open Slam,Lleyton Hewitt,Janko Tipsarevic,Janko Tipsarevic,Round of 128,182,5,49,68,43,22,43,60,40,48,,,169,137,55,34,14,60,78,49,32,57,38,47,38,,,187,144,66,45,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954132
Dec 31 2012,$1.958,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=4&p=I165,Denis Istomin,Brisbane,Lleyton Hewitt,Denis Istomin,Denis Istomin,R16,105,3,57,62,52,17,52,20,,,,,,,58,30,11,69,82,40,37,,25,,,,,,,69,41,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=4&p=I165
Dec 31 2012,$1.278,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=3&p=H432,Igor Kunitsyn,Brisbane,Lleyton Hewitt,Igor Kunitsyn,Lleyton Hewitt,R32,124,8,49,85,60,30,60,40,,,,,,,72,43,7,53,69,41,14,,50,,,,,,,56,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=3&p=H432
