date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Aug 5 2013,$1.430,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=PD31,Benoit Paire,ATP World Tour Masters 1000 Canada,Stan Wawrinka,Benoit Paire,Benoit Paire,R32,74,3,61,73,30,30,30,28,,,,,,,56,39,8,56,69,48,26,,50,,,,,,,60,43,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=PD31
Jul 22 2013,$1.256,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=5&p=L397,Feliciano Lopez,Gstaad,Stan Wawrinka,Feliciano Lopez,Feliciano Lopez,Q,124,15,54,71,45,23,45,14,,,,,,,59,37,8,55,76,45,28,,15,,,,,,,62,40,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=5&p=L397
Jul 22 2013,$1.161,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=4&p=W367,Daniel Gimeno-Traver,Gstaad,Stan Wawrinka,Daniel Gimeno-Traver,Stan Wawrinka,R16,95,12,70,79,60,33,60,25,,,,,,,73,40,4,58,66,50,20,,50,,,,,,,59,26,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=314&y=2013&r=4&p=W367
Mar 3 2014,$1.249,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=W367,Ivo Karlovic,ATP World Tour Masters 1000 Indian Wells,Stan Wawrinka,Ivo Karlovic,Stan Wawrinka,R64,64,8,57,87,70,18,70,100,,,,,,,80,26,9,69,81,57,12,,0,,,,,,,73,19,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=W367
Jan 31 2014,$1.036,http://www.tennisinsight.com/match_stats_popup.php?matchID=183913102,Dusan Lajovic,Davis Cup,Stan Wawrinka,Dusan Lajovic,Stan Wawrinka,Singles,158,5,60,81,47,38,47,40,,,,,,,68,40,6,65,62,55,19,,44,,,,,,,60,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=183913102
Jan 13 2014,$6.025,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704701,Rafael Nadal,Australian Open Slam,Stan Wawrinka,Rafael Nadal,Stan Wawrinka,Final,141,19,55,87,51,40,51,33,53,49,11,12,192,156,71,44,1,78,60,42,13,,33,19,32,5,8,162,134,56,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704701
Jun 24 2013,$1.676,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604140,Lleyton Hewitt,Wimbledon Slam,Stan Wawrinka,Lleyton Hewitt,Lleyton Hewitt,Round of 128,132,12,60,65,48,34,48,20,44,37,,,183,159,58,36,5,57,66,60,35,52,40,32,11,,,172,140,64,42,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604140
Jun 16 2013,$1.384,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=7&p=M873,Nicolas Mahut,s-Hertogenbosch,Stan Wawrinka,Nicolas Mahut,Nicolas Mahut,F,83,3,59,62,68,16,68,0,,,,,,,64,26,5,51,83,62,37,,50,,,,,,,73,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=7&p=M873
Jan 13 2014,$1.815,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704602,Tomas Berdych,Australian Open Slam,Stan Wawrinka,Tomas Berdych,Stan Wawrinka,Semi Final,211,18,61,82,56,18,56,25,57,49,14,18,189,154,72,28,21,62,82,57,18,,0,60,49,23,31,195,152,72,28,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704602
Jun 16 2013,$1.276,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=6&p=W367,Guillermo Garcia-Lopez,s-Hertogenbosch,Stan Wawrinka,Guillermo Garcia-Lopez,Stan Wawrinka,S,76,6,62,79,42,41,42,37,,,,,,,65,44,5,67,58,50,20,,0,,,,,,,55,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=6&p=W367
Jun 16 2013,$1.439,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=5&p=W367,Jeremy Chardy,s-Hertogenbosch,Stan Wawrinka,Jeremy Chardy,Stan Wawrinka,Q,75,7,61,78,66,18,66,66,,,,,,,74,32,10,72,81,29,21,,50,,,,,,,67,25,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=5&p=W367
Jan 13 2014,$7.979,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704504,Novak Djokovic,Australian Open Slam,Stan Wawrinka,Novak Djokovic,Stan Wawrinka,Quarter Final,240,17,58,72,50,29,50,50,51,60,20,30,194,156,63,32,7,73,71,59,28,,57,45,60,26,35,187,146,68,37,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704504
Jan 13 2014,$1.358,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704407,Tommy Robredo,Australian Open Slam,Stan Wawrinka,Tommy Robredo,Stan Wawrinka,Round of 16,143,14,56,90,51,30,51,40,57,37,17,25,197,155,73,37,1,71,70,45,10,,25,24,22,13,16,185,149,63,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704407
Jan 13 2014,$1.096,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704225,Alejandro Falla,Australian Open Slam,Stan Wawrinka,Alejandro Falla,Stan Wawrinka,Round of 64,167,9,56,83,56,31,56,35,61,46,23,29,180,152,71,40,1,60,69,46,17,,29,26,37,24,39,176,135,60,29,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704225
Jun 16 2013,$1.124,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=4&p=W367,Paolo Lorenzi,s-Hertogenbosch,Stan Wawrinka,Paolo Lorenzi,Stan Wawrinka,R16,73,7,62,75,68,30,68,50,,,,,,,72,33,2,60,69,61,24,,100,,,,,,,66,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=440&y=2013&r=4&p=W367
