p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
53,40,Tommy Robredo,$2.983,Fabio Fognini,Sep 30 2013,Beijing,R32,Fabio Fognini
82,42,Michal Przysiezny,$1.345,Michal Przysiezny,Sep 16 2013,St. Petersburg,R16,Fabio Fognini
59,40,Tommy Robredo,$1.724,Fabio Fognini,Feb 10 2014,Buenos Aires,S,Fabio Fognini
68,44,David Ferrer,$3.292,David Ferrer,Feb 10 2014,Buenos Aires,F,Fabio Fognini
49,50,Aljaz Bedene,$1.273,Fabio Fognini,Feb 17 2014,Rio de Janeiro,R32,Fabio Fognini
71,32,Pablo Cuevas,$1.265,Fabio Fognini,Feb 17 2014,Rio de Janeiro,R16,Fabio Fognini
64,59,Alexandr Dolgopolov,$1.559,Alexandr Dolgopolov,Feb 17 2014,Rio de Janeiro,Q,Fabio Fognini
58,38,Ryan Harrison,$1.521,Fabio Fognini,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Fabio Fognini
50,41,Gael Monfils,$3.204,Fabio Fognini,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Fabio Fognini
56,36,Andreas Beck,$1.178,Fabio Fognini,May 27 2013,French Open Slam,Round of 128,Fabio Fognini
57,30,Lukas Rosol,$1.105,Fabio Fognini,May 27 2013,French Open Slam,Round of 64,Fabio Fognini
63,43,Rafael Nadal,$31.008,Rafael Nadal,May 27 2013,French Open Slam,Round of 32,Fabio Fognini
59,43,Martin Klizan,$1.325,Martin Klizan,Apr 28 2014,Munich,F,Fabio Fognini
50,45,Roberto Bautista Agut,$1.482,Fabio Fognini,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Fabio Fognini
73,74,Santiago Giraldo,$1.356,Santiago Giraldo,Apr 21 2014,Barcelona,R32,Fabio Fognini
63,48,Jo-Wilfried Tsonga,$1.735,Jo-Wilfried Tsonga,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R16,Fabio Fognini
55,29,Dustin Brown,$1.365,Fabio Fognini,Apr 28 2014,Munich,R16,Fabio Fognini
39,43,Thomaz Bellucci,$1.437,Fabio Fognini,Apr 28 2014,Munich,Q,Fabio Fognini
50,29,Jan-Lennard Struff,$1.258,Fabio Fognini,Apr 28 2014,Munich,S,Fabio Fognini
65,45,Jurgen Melzer,$1.456,Jurgen Melzer,Jun 24 2013,Wimbledon Slam,Round of 128,Fabio Fognini
68,37,Alexandr Dolgopolov,$2.187,Alexandr Dolgopolov,May 5 2014,ATP World Tour Masters 1000 Madrid,R64,Fabio Fognini
