date,odds,matchStatsUrl,opponent,tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
Mar 17 2014,$1.160,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=F324,Richard Gasquet,ATP World Tour Masters 1000 Miami,Roger Federer,Richard Gasquet,Roger Federer,R16,49,6,67,88,58,46,58,83,,,,,,,78,53,0,60,53,35,12,,0,,,,,,,46,21,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=F324
Mar 17 2014,$1.021,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F324,Thiemo de Bakker,ATP World Tour Masters 1000 Miami,Roger Federer,Thiemo de Bakker,Roger Federer,R32,63,6,60,84,82,34,82,33,,,,,,,83,44,7,60,65,40,15,,0,,,,,,,55,16,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=F324
Jun 24 2013,$1.006,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604224,Sergiy Stakhovsky,Wimbledon Slam,Roger Federer,Sergiy Stakhovsky,Sergiy Stakhovsky,Round of 64,180,16,72,80,55,24,55,13,57,13,,,186,159,73,28,17,66,76,64,20,45,29,72,17,,,186,157,72,27,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604224
Jun 24 2013,$1.008,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604148,Victor Hanescu,Wimbledon Slam,Roger Federer,Victor Hanescu,Roger Federer,Round of 128,69,7,70,90,82,50,82,75,32,6,,,170,146,88,52,3,85,50,33,10,,0,14,13,,,173,151,48,13,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604148
Jun 10 2013,$1.153,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=7&p=F324,Mikhail Youzhny,Halle,Roger Federer,Mikhail Youzhny,Roger Federer,F,123,11,65,79,66,28,66,22,,,,,,,75,34,3,61,71,56,20,,0,,,,,,,65,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=7&p=F324
Mar 17 2014,$1.091,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=F324,Ivo Karlovic,ATP World Tour Masters 1000 Miami,Roger Federer,Ivo Karlovic,Roger Federer,R64,75,6,75,94,92,18,92,33,,,,,,,94,30,13,64,81,45,5,,0,,,,,,,69,5,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=F324
Mar 17 2014,$2.610,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=7&p=D643,Novak Djokovic,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Novak Djokovic,Novak Djokovic,F,132,6,63,70,56,24,56,66,,,,,,,65,33,6,64,75,50,29,,33,,,,,,,66,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=7&p=D643
Mar 3 2014,$1.340,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=6&p=F324,Alexandr Dolgopolov,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Alexandr Dolgopolov,Roger Federer,S,62,7,72,74,83,33,83,44,,,,,,,76,50,2,39,66,37,25,,0,,,,,,,49,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=6&p=F324
Jun 10 2013,$1.367,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=6&p=F324,Tommy Haas,Halle,Roger Federer,Tommy Haas,Roger Federer,S,98,15,64,80,57,23,57,22,,,,,,,71,36,6,60,76,44,20,,33,,,,,,,63,28,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=6&p=F324
Jun 10 2013,$1.021,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=5&p=F324,Mischa Zverev,Halle,Roger Federer,Mischa Zverev,Roger Federer,Q,40,4,63,71,83,66,83,60,,,,,,,75,67,0,62,33,31,28,,0,,,,,,,32,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=5&p=F324
Jun 10 2013,$1.024,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=F324,Cedrik-Marcel Stebe,Halle,Roger Federer,Cedrik-Marcel Stebe,Roger Federer,R16,68,3,58,75,50,46,50,57,,,,,,,64,50,5,70,53,41,25,,50,,,,,,,50,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=F324
May 27 2013,$1.629,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224504,Jo-Wilfried Tsonga,French Open Slam,Roger Federer,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,Quarter Final,111,0,67,58,42,19,42,67,25,34,,,184,150,53,26,2,75,81,53,42,58,43,26,22,,,177,142,74,47,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224504
Mar 3 2014,$1.212,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=F324,Kevin Anderson,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Kevin Anderson,Roger Federer,Q,69,3,64,78,88,28,88,42,,,,,,,82,44,3,59,71,31,21,,0,,,,,,,55,17,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=5&p=F324
Mar 3 2014,$1.214,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=F324,Tommy Haas,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Tommy Haas,Roger Federer,R16,84,7,64,82,45,31,45,27,,,,,,,69,40,3,65,68,41,17,,20,,,,,,,59,30,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=F324
Mar 3 2014,$1.069,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F324,Dmitry Tursunov,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Dmitry Tursunov,Roger Federer,R32,106,9,67,71,68,27,68,66,,,,,,,70,37,7,46,72,53,28,,66,,,,,,,62,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=F324
May 27 2013,$1.055,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224408,Gilles Simon,French Open Slam,Roger Federer,Gilles Simon,Roger Federer,Round of 16,179,9,64,75,55,34,55,43,60,56,,,188,153,68,42,5,61,66,44,25,,50,32,47,,,179,140,58,32,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224408
Mar 3 2014,$1.043,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=F324,Paul-Henri Mathieu,ATP World Tour Masters 1000 Indian Wells,Roger Federer,Paul-Henri Mathieu,Roger Federer,R64,91,9,61,84,50,34,50,60,,,,,,,70,41,1,52,65,50,15,,50,,,,,,,58,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=F324
Mar 3 2014,$1.719,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=7&p=F324,Tomas Berdych,Dubai,Roger Federer,Tomas Berdych,Roger Federer,F,119,8,51,83,46,34,46,40,,,,,,,65,44,5,48,65,45,16,,30,,,,,,,55,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=495&y=2014&r=7&p=F324
