p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
65,43,Federico Delbonis,$1.767,Federico Delbonis,May 19 2014,Nice,S,Gilles Simon
58,36,Kyle Edmund,$1.170,Gilles Simon,Jun 17 2013,Eastbourne,R16,Gilles Simon
60,45,Dmitry Tursunov,$1.651,Dmitry Tursunov,Aug 12 2013,Washington,R32,Gilles Simon
49,44,Andreas Seppi,$1.708,Gilles Simon,Jun 24 2013,Eastbourne,S,Gilles Simon
49,34,Kenny De Schepper,$1.456,Gilles Simon,Sep 16 2013,Metz,R16,Gilles Simon
66,31,Nicolas Mahut,$1.585,Gilles Simon,Sep 30 2013,Metz,S,Gilles Simon
66,28,Bernard Tomic,$2.116,Gilles Simon,Jun 17 2013,Eastbourne,Q,Gilles Simon
78,39,Vasek Pospisil,$1.676,Vasek Pospisil,Sep 16 2013,ATP World Tour Masters 1000 Cincinnati,R64,Gilles Simon
58,51,Nikolay Davydenko,$1.676,Nikolay Davydenko,Sep 16 2013,ATP World Tour Masters 1000 Canada,R64,Gilles Simon
69,22,Sam Querrey,$1.749,Gilles Simon,Sep 16 2013,Metz,Q,Gilles Simon
66,38,Igor Sijsling,$1.359,Gilles Simon,Sep 30 2013,Bangkok,Q,Gilles Simon
68,21,Bernard Tomic,$1.706,Gilles Simon,Sep 30 2013,Bangkok,R16,Gilles Simon
74,39,Marius Copil,$1.464,Marius Copil,Jan 7 2014,Brisbane,R16,Gilles Simon
62,46,Tomas Berdych,$3.467,Tomas Berdych,Oct 6 2013,Bangkok,S,Gilles Simon
70,34,Benoit Paire,$1.516,Benoit Paire,Oct 21 2013,ATP World Tour Masters 1000 Shanghai,R64,Gilles Simon
66,45,Marc Gicquel,$1.275,Marc Gicquel,Feb 10 2014,Montpellier,R16,Gilles Simon
43,43,Donald Young,$1.357,Gilles Simon,Feb 24 2014,Acapulco,R16,Gilles Simon
50,19,Tim Smyczek,$1.440,Gilles Simon,Feb 24 2014,Acapulco,R32,Gilles Simon
57,44,Andy Murray,$6.609,Andy Murray,Feb 24 2014,Acapulco,Q,Gilles Simon
58,41,Joao Sousa,$1.417,Joao Sousa,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Gilles Simon
69,35,Federico Delbonis,$2.273,Federico Delbonis,Apr 7 2014,Casablanca,R32,Gilles Simon
70,42,Dominic Thiem,$1.574,Dominic Thiem,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Gilles Simon
54,45,Teymuraz Gabashvili,$1.538,Teymuraz Gabashvili,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R64,Gilles Simon
59,45,Janko Tipsarevic,$2.695,Janko Tipsarevic,Oct 1 2012,Tokyo,R32,Gilles Simon
61,63,Alejandro Falla,$1.280,Alejandro Falla,Oct 28 2013,Valencia,R32,Gilles Simon
59,38,Victor Hanescu,$1.948,Gilles Simon,Apr 21 2014,Bucharest,R16,Gilles Simon
61,49,Lukas Rosol,$2.226,Lukas Rosol,Apr 21 2014,Bucharest,Q,Gilles Simon
70,41,Alexandr Dolgopolov,$1.839,Alexandr Dolgopolov,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,Gilles Simon
