p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1
75,37,Jurgen Melzer,$1.376,Jurgen Melzer,Oct 1 2012,Beijing,R16,Alexandr Dolgopolov
56,33,Facundo Bagnis,$1.218,Alexandr Dolgopolov,Feb 17 2014,Rio de Janeiro,R16,Alexandr Dolgopolov
55,35,Nicolas Almagro,$3.738,Alexandr Dolgopolov,Feb 17 2014,Rio de Janeiro,R32,Alexandr Dolgopolov
70,29,Jeremy Chardy,$2.279,Jeremy Chardy,Feb 10 2014,Buenos Aires,R16,Alexandr Dolgopolov
70,41,Rafael Nadal,$5.821,Rafael Nadal,Feb 17 2014,Rio de Janeiro,F,Alexandr Dolgopolov
54,33,David Ferrer,$4.792,Alexandr Dolgopolov,Feb 17 2014,Rio de Janeiro,S,Alexandr Dolgopolov
65,16,Jeremy Chardy,$1.598,Alexandr Dolgopolov,Feb 24 2014,Acapulco,R16,Alexandr Dolgopolov
71,25,Ivo Karlovic,$1.530,Alexandr Dolgopolov,Feb 24 2014,Acapulco,Q,Alexandr Dolgopolov
48,26,Vasek Pospisil,$1.787,Alexandr Dolgopolov,Feb 24 2014,Acapulco,R32,Alexandr Dolgopolov
75,50,Andy Murray,$8.146,Andy Murray,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R16,Alexandr Dolgopolov
56,28,Jeremy Chardy,$1.668,Alexandr Dolgopolov,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R64,Alexandr Dolgopolov
77,36,Kevin Anderson,$1.530,Kevin Anderson,Feb 24 2014,Acapulco,S,Alexandr Dolgopolov
58,29,Gilles Simon,$2.117,Alexandr Dolgopolov,Oct 7 2012,ATP World Tour Masters 1000 Shanghai,R32,Alexandr Dolgopolov
67,32,Edouard Roger-Vasselin,$1.406,Edouard Roger-Vasselin,Oct 15 2012,Moscow,R16,Alexandr Dolgopolov
61,16,Filippo Volandri,$1.076,Alexandr Dolgopolov,Oct 21 2012,Valencia,R32,Alexandr Dolgopolov
41,24,Marcel Granollers,$1.651,Alexandr Dolgopolov,Oct 21 2012,Valencia,Q,Alexandr Dolgopolov
60,14,Gilles Muller,$1.695,Alexandr Dolgopolov,Oct 21 2012,Valencia,R16,Alexandr Dolgopolov
56,28,Fabio Fognini,$1.530,Alexandr Dolgopolov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R16,Alexandr Dolgopolov
53,28,Jurgen Melzer,$1.508,Alexandr Dolgopolov,Oct 21 2012,Valencia,S,Alexandr Dolgopolov
64,40,Rafael Nadal,$7.624,Alexandr Dolgopolov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R32,Alexandr Dolgopolov
71,35,David Ferrer,$3.538,David Ferrer,Oct 21 2012,Valencia,F,Alexandr Dolgopolov
58,38,Tim Smyczek,$1.186,Alexandr Dolgopolov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Alexandr Dolgopolov
61,27,Milos Raonic,$2.159,Alexandr Dolgopolov,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,Q,Alexandr Dolgopolov
53,32,Jarkko Nieminen,$1.351,Alexandr Dolgopolov,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Alexandr Dolgopolov
76,50,Roger Federer,$3.693,Roger Federer,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,S,Alexandr Dolgopolov
78,41,Igor Sijsling,$1.461,Igor Sijsling,Oct 29 2012,ATP World Tour Masters 1000 Paris,R64,Alexandr Dolgopolov
44,25,Jarkko Nieminen,$1.549,Alexandr Dolgopolov,Dec 31 2012,Brisbane,R16,Alexandr Dolgopolov
74,34,Kei Nishikori,$2.330,Kei Nishikori,Dec 31 2012,Brisbane,Q,Alexandr Dolgopolov
61,30,Rhyne Williams,$1.384,Alexandr Dolgopolov,Feb 18 2013,Memphis,R16,Alexandr Dolgopolov
64,25,Bjorn Phau,$1.250,Alexandr Dolgopolov,Feb 18 2013,Memphis,R32,Alexandr Dolgopolov
