p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
59.0,30.0,Andrey Kuznetsov,$1.130,Nicolas Almagro,Feb 18 2013,Buenos Aires,R16,Nicolas Almagro,false,59.0,cluster_4
50.0,25.0,Guido Pella,$1.137,Nicolas Almagro,Feb 18 2013,Buenos Aires,R32,Nicolas Almagro,false,60.0,cluster_2
62.0,21.0,Jeremy Chardy,$1.417,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Nicolas Almagro,false,61.0,cluster_5
58.0,16.0,Go Soeda,$1.255,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R64,Nicolas Almagro,false,62.0,cluster_5
75.0,29.0,Juan Martin Del Potro,$4.033,Juan Martin Del Potro,Oct 6 2013,Tokyo,S,Nicolas Almagro,false,63.0,cluster_6
70.0,28.0,David Nalbandian,$1.349,David Nalbandian,Feb 11 2013,Sao Paulo,Q,Nicolas Almagro,false,64.0,cluster_6
58.0,31.0,Paul Capdeville,$1.138,Nicolas Almagro,Feb 11 2013,Sao Paulo,R16,Nicolas Almagro,false,65.0,cluster_4
60.0,36.0,Kei Nishikori,$2.691,Nicolas Almagro,Sep 30 2013,Tokyo,Q,Nicolas Almagro,false,66.0,cluster_1
57.0,14.0,Horacio Zeballos,$1.192,Nicolas Almagro,Sep 30 2013,Tokyo,R16,Nicolas Almagro,false,67.0,cluster_5
67.0,12.0,Benjamin Becker,$1.589,Nicolas Almagro,Sep 30 2013,Tokyo,R32,Nicolas Almagro,false,68.0,cluster_5
65.0,41.0,David Ferrer,$5.608,David Ferrer,Feb 1 2013,Australian Open Slam,Quarter Final,Nicolas Almagro,false,69.0,cluster_7
64.0,45.0,Adrian Mannarino,$1.464,Adrian Mannarino,Sep 30 2013,Kuala Lumpur,R16,Nicolas Almagro,false,70.0,cluster_7
68.0,44.0,Denis Istomin,$1.528,Denis Istomin,Sep 23 2013,US Open Slam,Round of 128,Nicolas Almagro,false,71.0,cluster_7
67.0,37.0,Grigor Dimitrov,$1.860,Grigor Dimitrov,Aug 26 2013,ATP World Tour Masters 1000 Cincinnati,R64,Nicolas Almagro,false,72.0,cluster_0
46.0,26.0,Janko Tipsarevic,$1.775,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 16,Nicolas Almagro,false,73.0,cluster_2
69.0,20.0,Jerzy Janowicz,$1.406,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 32,Nicolas Almagro,false,74.0,cluster_6
64.0,40.0,Radek Stepanek,$1.695,Radek Stepanek,Aug 12 2013,ATP World Tour Masters 1000 Canada,R64,Nicolas Almagro,false,75.0,cluster_7
63.0,43.0,Fabio Fognini,$1.773,Fabio Fognini,Aug 5 2013,Hamburg,S,Nicolas Almagro,false,76.0,cluster_7
54.0,31.0,Daniel Gimeno-Traver,$1.096,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 64,Nicolas Almagro,false,77.0,cluster_4
62.0,27.0,Steve Johnson,$1.184,Nicolas Almagro,Feb 1 2013,Australian Open Slam,Round of 128,Nicolas Almagro,false,78.0,cluster_4
53.0,41.0,Juan Monaco,$1.513,Nicolas Almagro,Jul 15 2013,Hamburg,Q,Nicolas Almagro,false,79.0,cluster_1
54.0,26.0,Guillermo Garcia-Lopez,$1.224,Nicolas Almagro,Jul 15 2013,Hamburg,R16,Nicolas Almagro,false,80.0,cluster_2
76.0,27.0,Jo-Wilfried Tsonga,$5.111,Jo-Wilfried Tsonga,Nov 16 2012,ATP World Tour Masters 1000 Paris,R16,Nicolas Almagro,false,81.0,cluster_6
61.0,30.0,Albert Ramos,$1.277,Nicolas Almagro,Oct 29 2012,ATP World Tour Masters 1000 Paris,R32,Nicolas Almagro,false,82.0,cluster_4
50.0,19.0,Tobias Kamke,$1.192,Nicolas Almagro,Jul 15 2013,Hamburg,R32,Nicolas Almagro,false,83.0,cluster_2
60.0,42.0,Fernando Verdasco,$1.724,Fernando Verdasco,Jul 15 2013,Bastad,Q,Nicolas Almagro,false,84.0,cluster_7
74.0,34.0,David Ferrer,$3.710,David Ferrer,Oct 29 2012,Valencia,Q,Nicolas Almagro,false,85.0,cluster_3
59.0,29.0,Sam Querrey,$2.076,Nicolas Almagro,Oct 21 2012,Valencia,R16,Nicolas Almagro,false,86.0,cluster_4
78.0,38.0,Jerzy Janowicz,$2.169,Jerzy Janowicz,Jul 8 2013,Wimbledon Slam,Round of 32,Nicolas Almagro,false,87.0,cluster_3
53.0,41.0,Juan Carlos Ferrero,$1.181,Nicolas Almagro,Oct 21 2012,Valencia,R32,Nicolas Almagro,false,88.0,cluster_1
70.0,42.0,Tomas Berdych,$4.350,Tomas Berdych,Oct 21 2012,Stockholm,S,Nicolas Almagro,false,89.0,cluster_7
