matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Newport,Lleyton Hewitt,John Isner,Lleyton Hewitt,S,131,6,8,45,81,55,35,55,33,,,,,,,13,3,58,64,46,18,46,60,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=315&y=2013&r=6&p=H432
,Atlanta,John Isner,Christian Harrison,John Isner,R16,144,29,3,69,85,50,25,50,14,,,,,,,9,3,59,74,71,14,71,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=4&p=I186
,Atlanta,John Isner,James Blake,John Isner,Q,88,21,2,65,81,65,22,65,100,,,,,,,7,3,60,77,58,18,58,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=5&p=I186
,Atlanta,John Isner,Lleyton Hewitt,John Isner,S,143,21,3,65,75,60,23,60,33,,,,,,,12,3,59,76,54,24,54,28,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=6&p=I186
,US Open Slam,John Isner,Xavier Malisse,John Isner,Round of 128,,20,4,66,80,64,22,64,29,59,43,"
								","
								",204,177,11,4,58,78,67,20,67,40,47,27,"
                            ","
                            ",185,138,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114140
,US Open Slam,John Isner,Jarkko Nieminen,John Isner,Round of 64,,23,5,72,82,55,27,55,57,69,44,"
								","
								",204,175,5,4,61,73,45,18,45,25,28,22,"
                            ","
                            ",168,127,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114220
,US Open Slam,Philipp Kohlschreiber,John Isner,Philipp Kohlschreiber,Round of 32,,5,1,77,72,59,25,59,100,43,31,"
								","
								",170,152,22,3,64,75,60,28,60,18,62,57,"
                            ","
                            ",199,172,http://www.tennisinsight.com/match_stats_popup.php?matchID=176114310
,French Open Slam,John Isner,Carlos Berlocq,John Isner,Round of 128,116,14,1,63,80,48,32,48,44,52,29,"
								","
								",202,164,3,3,73,68,40,20,40,20,27,11,"
                            ","
                            ",175,145,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224112
,French Open Slam,John Isner,Ryan Harrison,John Isner,Round of 64,230,15,2,65,79,66,26,66,28,61,52,"
								","
								",202,163,9,9,64,74,48,21,48,14,52,37,"
                            ","
                            ",188,164,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224206
,French Open Slam,Tommy Haas,John Isner,Tommy Haas,Round of 32,277,15,9,63,76,67,26,67,13,85,43,"
								","
								",179,155,27,0,78,74,47,24,47,15,92,58,"
                            ","
                            ",198,154,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224303
,Wimbledon Slam,John Isner,Evgeny Donskoy,John Isner,Round of 128,103,22,1,75,77,79,24,79,50,40,20,"
								","
								",,,4,4,65,76,45,23,45,0,27,20,"
                            ","
                            ",,,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604137
,Wimbledon Slam,Adrian Mannarino,John Isner,Adrian Mannarino,Round of 64,15,1,1,80,100,0,0,0,0,2,1,"
								","
								",177,0,1,0,80,100,100,0,100,0,1,0,"
                            ","
                            ",180,172,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604219
,Atlanta,John Isner,Kevin Anderson,John Isner,F,174,24,0,66,81,52,15,52,0,,,,,,,21,6,63,84,58,18,58,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6116&y=2013&r=7&p=I186
,Washington,John Isner,Alex Kuznetsov,John Isner,R32,102,19,2,64,83,45,18,45,50,,,,,,,8,2,62,81,50,16,50,10,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=3&p=I186
,Washington,John Isner,Somdev Devvarman,John Isner,R16,94,12,0,72,92,62,29,62,20,,,,,,,4,1,54,70,56,7,56,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=4&p=I186
,Washington,John Isner,Marcos Baghdatis,John Isner,Q,117,18,1,59,87,78,13,78,33,,,,,,,11,8,42,86,52,12,52,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=5&p=I186
,Washington,John Isner,Dmitry Tursunov,John Isner,S,123,29,1,67,87,64,24,64,28,,,,,,,4,9,58,75,52,12,52,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=6&p=I186
,Washington,Juan Martin Del Potro,John Isner,Juan Martin Del Potro,F,89,2,1,66,81,54,30,54,66,,,,,,,6,4,66,69,36,18,36,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=7&p=D683
,ATP World Tour Masters 1000 Canada,Vasek Pospisil,John Isner,Vasek Pospisil,R64,152,16,4,53,76,56,24,56,16,,,,,,,24,3,70,76,67,23,67,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=PD07
,ATP World Tour Masters 1000 Cincinnati,John Isner,Florian Mayer,John Isner,R64,62,17,0,68,82,75,28,75,40,,,,,,,3,5,43,72,50,17,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=I186
,ATP World Tour Masters 1000 Cincinnati,John Isner,Richard Gasquet,John Isner,R32,82,10,2,54,91,53,30,53,40,,,,,,,4,4,46,70,64,8,64,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=3&p=I186
,ATP World Tour Masters 1000 Cincinnati,John Isner,Milos Raonic,John Isner,R16,97,13,2,58,82,64,29,64,25,,,,,,,4,3,62,70,57,17,57,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=4&p=I186
,ATP World Tour Masters 1000 Cincinnati,John Isner,Novak Djokovic,John Isner,Q,144,9,0,74,79,62,27,62,10,,,,,,,9,5,66,72,57,20,57,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=5&p=I186
,ATP World Tour Masters 1000 Cincinnati,John Isner,Juan Martin Del Potro,John Isner,S,168,23,6,66,77,48,27,48,28,,,,,,,10,9,61,72,56,22,56,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=6&p=I186
