tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
ATP World Tour Masters 1000 Indian Wells,Nicolas Almagro,Daniel Gimeno-Traver,Nicolas Almagro,R64,71,10,55,84,50,38,50,66,,,,,,,68,43,2,45,61,51,15,,16,,,,,,,56,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=A479
ATP World Tour Masters 1000 Miami,Nicolas Almagro,Guido Pella,Nicolas Almagro,R64,48,14,55,86,72,28,72,80,,,,,,,80,51,2,46,71,29,13,,0,,,,,,,48,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=A479
Houston,Nicolas Almagro,Rhyne Williams,Nicolas Almagro,S,60,7,62,82,47,59,47,62,,,,,,,68,60,1,53,40,36,17,,33,,,,,,,39,31,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=6&p=A479
Barcelona,Nicolas Almagro,Ivan Dodig,Nicolas Almagro,R32,76,7,57,74,65,31,65,57,,,,,,,70,44,4,57,68,37,25,,33,,,,,,,55,29,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=3&p=A479
ATP World Tour Masters 1000 Monte Carlo,Nicolas Almagro,Jurgen Melzer,Jurgen Melzer,R32,74,5,50,77,50,26,50,0,,,,,,,64,32,0,50,73,62,22,,50,,,,,,,67,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=3&p=M762
Barcelona,Nicolas Almagro,Marcel Granollers,Nicolas Almagro,R16,93,2,49,72,51,41,51,75,,,,,,,61,41,1,45,58,58,27,,14,,,,,,,58,38,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=4&p=A479
ATP World Tour Masters 1000 Madrid,Nicolas Almagro,Mikhail Youzhny,Mikhail Youzhny,R32,177,9,62,68,60,32,60,11,,,,,,,65,40,1,71,67,38,31,,60,,,,,,,59,34,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=Y061
ATP World Tour Masters 1000 Monte Carlo,Nicolas Almagro,David Goffin,Nicolas Almagro,R64,102,12,50,83,48,34,48,40,,,,,,,66,45,3,57,65,39,16,,100,,,,,,,54,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2013&r=2&p=A479
Barcelona,Nicolas Almagro,Juan Monaco,Nicolas Almagro,Q,105,9,47,82,48,40,48,66,,,,,,,64,35,0,66,59,73,17,,0,,,,,,,64,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=5&p=A479
ATP World Tour Masters 1000 Madrid,Nicolas Almagro,Tobias Kamke,Nicolas Almagro,R64,42,5,52,100,58,30,58,16,,,,,,,80,42,2,68,69,33,0,,0,,,,,,,57,20,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=A479
Barcelona,Nicolas Almagro,Philipp Kohlschreiber,Nicolas Almagro,S,51,9,60,84,64,52,64,57,,,,,,,76,54,2,52,47,42,15,,0,,,,,,,45,23,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=6&p=A479
Barcelona,Nicolas Almagro,Rafael Nadal,Rafael Nadal,F,92,2,60,61,45,29,45,40,,,,,,,55,35,1,70,70,50,38,,44,,,,,,,64,44,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=7&p=N409
Houston,Nicolas Almagro,John Isner,John Isner,F,81,5,55,68,53,25,53,25,,,,,,,62,31,7,57,75,60,31,,33,,,,,,,68,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=717&y=2013&r=7&p=I186
