matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,ATP World Tour Masters 1000 Shanghai,Rafael Nadal,Carlos Berlocq,Rafael Nadal,R16,110,2,1,78,75,53,38,53,27,,,,,,,6,2,69,61,45,25,45,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=N409
,ATP World Tour Masters 1000 Shanghai,Rafael Nadal,Stan Wawrinka,Rafael Nadal,Q,106,1,0,72,75,65,22,65,33,,,,,,,5,1,50,77,50,24,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=5&p=N409
,ATP World Tour Masters 1000 Shanghai,Juan Martin Del Potro,Rafael Nadal,Juan Martin Del Potro,S,106,5,0,80,65,69,44,69,27,,,,,,,0,4,70,55,60,34,60,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=6&p=D683
,ATP World Tour Masters 1000 Paris,Rafael Nadal,Marcel Granollers,Rafael Nadal,R32,102,2,0,72,86,64,31,64,33,,,,,,,5,4,58,68,50,13,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=N409
,ATP World Tour Masters 1000 Paris,Rafael Nadal,Jerzy Janowicz,Rafael Nadal,R16,103,4,4,73,67,57,33,57,50,,,,,,,8,1,69,66,52,32,52,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=N409
,French Open Slam,Rafael Nadal,Daniel Brands,Rafael Nadal,Round of 128,174,2,4,84,78,67,37,67,38,40,26,"","",173,139,10,1,74,63,59,22,59,25,51,53,"","",197,162,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224117
,French Open Slam,Rafael Nadal,Martin Klizan,Rafael Nadal,Round of 64,164,5,2,74,74,38,48,38,70,27,29,"","",171,136,6,5,56,52,56,26,56,57,32,57,"","",178,142,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224209
,French Open Slam,Rafael Nadal,Fabio Fognini,Rafael Nadal,Round of 32,165,5,1,78,64,61,45,61,28,24,40,"","",174,135,3,2,67,55,60,36,60,27,47,59,"","",175,144,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224305
,French Open Slam,Rafael Nadal,Kei Nishikori,Rafael Nadal,Round of 16,122,1,0,69,72,67,47,67,63,20,25,"","",176,139,0,1,65,53,56,28,56,0,14,39,"","",169,139,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224403
,French Open Slam,Rafael Nadal,Stanislas Wawrinka,Rafael Nadal,Quarter Final,116,5,0,75,73,61,42,61,58,31,17,"","",182,141,3,4,60,58,34,27,34,20,23,40,"","",187,163,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224502
