matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Doha,Andy Murray,Mousa Shanan Zayed,Andy Murray,R32,37,3,3,62,100,33,75,33,66,,,,,,,0,2,47,25,27,0,27,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=3&p=MC10
,Doha,Florian Mayer,Andy Murray,Florian Mayer,R16,112,4,1,65,66,63,37,63,44,,,,,,,5,3,54,62,55,33,55,30,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=451&y=2014&r=4&p=MB02
,Rotterdam,Andy Murray,Edouard Roger-Vasselin,Andy Murray,R32,89,3,1,60,73,68,27,68,30,,,,,,,1,1,61,72,28,26,28,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=3&p=MC10
,Rotterdam,Andy Murray,Dominic Thiem,Andy Murray,R16,142,3,5,66,71,42,26,42,27,,,,,,,2,7,55,73,44,28,44,28,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=4&p=MC10
,Rotterdam,Marin Cilic,Andy Murray,Marin Cilic,Q,72,8,1,62,88,45,14,45,40,,,,,,,4,3,57,85,50,11,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=407&y=2014&r=5&p=C977
,Acapulco,Andy Murray,Pablo Andujar,Andy Murray,R32,121,7,4,61,70,45,46,45,40,,,,,,,0,3,67,53,42,30,42,30,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=3&p=MC10
,Acapulco,Andy Murray,Joao Sousa,Andy Murray,R16,101,6,0,51,63,70,31,70,33,,,,,,,0,3,51,68,39,36,39,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=4&p=MC10
,Acapulco,Andy Murray,Gilles Simon,Andy Murray,Q,155,5,3,53,68,44,45,44,100,,,,,,,2,2,56,54,55,31,55,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=5&p=MC10
,Acapulco,Grigor Dimitrov,Andy Murray,Grigor Dimitrov,S,175,5,2,69,79,48,20,48,28,,,,,,,4,1,66,79,54,20,54,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=807&y=2014&r=6&p=D875
,ATP World Tour Masters 1000 Indian Wells,Andy Murray,Lukas Rosol,Andy Murray,R64,106,4,1,61,71,61,25,61,62,,,,,,,5,6,48,74,39,28,39,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=MC10
,ATP World Tour Masters 1000 Indian Wells,Andy Murray,Jiri Vesely,Andy Murray,R32,168,7,5,58,61,45,32,45,40,,,,,,,4,11,50,67,37,38,37,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=MC10
,ATP World Tour Masters 1000 Indian Wells,Milos Raonic,Andy Murray,Milos Raonic,R16,130,15,3,66,83,51,28,51,42,,,,,,,4,3,66,71,43,16,43,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=4&p=R975
,ATP World Tour Masters 1000 Miami,Andy Murray,Matthew Ebden,Andy Murray,R64,97,5,3,66,69,56,48,56,37,,,,,,,3,7,56,51,44,30,44,18,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=MC10
,ATP World Tour Masters 1000 Miami,Andy Murray,Feliciano Lopez,Andy Murray,R32,73,1,3,47,78,60,50,60,83,,,,,,,2,4,42,50,44,21,44,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=MC10
,ATP World Tour Masters 1000 Miami,Andy Murray,Jo-Wilfried Tsonga,Andy Murray,R16,74,2,1,71,88,72,54,72,33,,,,,,,3,3,54,45,54,11,54,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=MC10
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Andy Murray,Novak Djokovic,Q,90,7,3,72,72,55,35,55,50,,,,,,,1,5,65,64,47,27,47,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=D643
,ATP World Tour Masters 1000 Madrid,Andy Murray,Nicolas Almagro,Andy Murray,R32,107,5,0,52,73,52,25,52,66,,,,,,,8,4,43,74,53,26,53,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=MC10
,ATP World Tour Masters 1000 Madrid,Santiago Giraldo,Andy Murray,Santiago Giraldo,R16,70,3,0,64,88,47,29,47,42,,,,,,,6,1,56,70,42,11,42,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=G725
,ATP World Tour Masters 1000 Rome,Andy Murray,Marcel Granollers,Andy Murray,R32,86,0,0,81,72,88,35,88,50,,,,,,,0,2,66,65,40,27,40,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=MC10
,ATP World Tour Masters 1000 Rome,Andy Murray,Jurgen Melzer,Andy Murray,R16,102,6,1,61,67,58,40,58,60,,,,,,,4,1,73,59,47,32,47,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=4&p=MC10
,ATP World Tour Masters 1000 Rome,Rafael Nadal,Andy Murray,Rafael Nadal,Q,161,6,1,70,67,52,30,52,33,,,,,,,5,4,64,69,31,32,31,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=5&p=N409
,Wimbledon Slam,Andy Murray,Tommy Robredo,Andy Murray,Round of 32,121,9,0,65,85,57,30,57,71,40,14,,,181,138,6,1,67,70,36,15,36,33,34,25,,,188,152,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604316
,Wimbledon Slam,Andy Murray,Mikhail Youzhny,Andy Murray,Round of 16,157,15,4,63,81,40,37,40,50,45,16,,,188,125,1,1,61,63,44,19,44,40,33,20,,,180,149,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604408
,Wimbledon Slam,Andy Murray,Fernando Verdasco,Andy Murray,Quarter Final,207,14,3,69,77,55,28,55,45,36,27,,,183,136,11,9,59,72,48,23,48,43,45,45,,,191,168,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604504
,Wimbledon Slam,Andy Murray,Jerzy Janowicz,Andy Murray,Semi Final,172,20,1,70,76,71,25,71,38,49,15,,,188,133,9,11,55,75,47,24,47,14,43,43,,,205,173,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604602
,Wimbledon Slam,Andy Murray,Novak Djokovic,Andy Murray,Final,189,9,2,64,72,42,41,42,41,36,21,,,188,128,4,4,65,59,41,28,41,31,31,40,,,189,156,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604701
,US Open Slam,Andy Murray,Michael Llodra,Andy Murray,Round of 128,98,3,0,67,78,65,40,65,75,34,5,19,26,177,131,2,6,63,60,39,22,39,50,24,29,33,60,185,154,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634117
